gene_id	gene_name	BT-549_count	BT-549_FPKM
ENSG00000225819	AC013269.3	0	0
ENSG00000229306	AP001464.4	0	0
ENSG00000229307	LINC00459	0	0
ENSG00000229305	RP11-431K24.2	0	0
ENSG00000229302	TAF9P2	0	0
ENSG00000229303	PPIAP25	0	0
ENSG00000229301	RP5-905H7.8	0	0
ENSG00000229308	AC010084.1	0	0
ENSG00000229309	RP11-452B18.2	0	0
ENSG00000278071	RP11-736N17.10	0	0
ENSG00000240174	RP11-851M3.1	0	0
ENSG00000278077	RP11-157L3.10	1	0.444380823
ENSG00000278075	RP11-248M19.1	0	0
ENSG00000055070	SZRD1	2411	22.31322034
ENSG00000227411	BAATP1	0	0
ENSG00000155719	OTOA	0	0
ENSG00000227413	RP5-1042K10.12	0	0
ENSG00000227416	RP11-109P14.2	0	0
ENSG00000227417	RP11-397P13.6	0	0
ENSG00000162337	LRP5	493	5.739195538
ENSG00000155714	PDZD9	0	0
ENSG00000182010	RTKN2	260	2.481899756
ENSG00000182013	PNMAL1	708	9.012730662
ENSG00000244748	RN7SL153P	0	0
ENSG00000186704	DTX2P1	10	0.574443294
ENSG00000251776	RN7SKP242	0	0
ENSG00000245293	RP11-286E11.1	1	0.027193838
ENSG00000164659	KIAA1324L	10	0.079382745
ENSG00000242748	RPL23AP81	1	0.200780201
ENSG00000242747	RP11-30K9.1	0	0
ENSG00000164651	SP8	16	0.29423749
ENSG00000242741	RP11-20B7.1	0	0
ENSG00000164654	MIOS	227	1.779100483
ENSG00000114978	MOB1A	1881	21.80542235
ENSG00000252233	RN7SKP253	0	0
ENSG00000256925	ADGRA1-AS1	0	0
ENSG00000161021	MAML1	819	6.558588142
ENSG00000256922	RP11-749H20.1	0	0
ENSG00000256923	RP11-449P1.1	0	0
ENSG00000226331	RPL23AP28	0	0
ENSG00000261608	SLC25A1P4	0	0
ENSG00000256928	RP11-809N8.2	1	0.124686641
ENSG00000254694	RP11-50B3.4	0	0
ENSG00000254695	RP11-396O20.1	0	0
ENSG00000254696	RP11-72M10.7	0	0
ENSG00000254697	COPS8P3	0	0
ENSG00000254690	GS1-393G12.12	0	0
ENSG00000254691	RP11-91P24.5	1	0.170171241
ENSG00000266929	RP11-400F19.8	0	0
ENSG00000266928	CTB-70G10.1	0	0
ENSG00000266925	RP11-434D2.7	0	0
ENSG00000266924	RP11-154H12.2	0	0
ENSG00000254698	RP11-659G9.3	0	0
ENSG00000254699	RP11-12D16.2	0	0
ENSG00000266921	RP11-15A1.7	0	0
ENSG00000266920	ACTBP9	1	0.085317883
ENSG00000257343	RP11-641A6.8	0	0
ENSG00000257342	RP11-571M6.7	1	0.134140706
ENSG00000257341	AL928654.7	7	0.338455615
ENSG00000215867	KRT18P57	0	0
ENSG00000257346	RP11-386G11.8	0	0
ENSG00000257345	RP11-511B23.1	0	0
ENSG00000234337	RP11-297L17.6	84	10.6627247
ENSG00000215861	WI2-1896O14.1	18	1.809773439
ENSG00000119509	INVS	178	2.214814768
ENSG00000228949	UGT1A12P	0	0
ENSG00000256699	RP11-669N7.3	0	0
ENSG00000256694	RP11-598F7.5	0	0
ENSG00000256695	RP1-166H1.2	0	0
ENSG00000228943	RP5-1053E7.2	0	0
ENSG00000267733	RP11-64C12.3	0	0
ENSG00000228940	RP11-348A7.1	0	0
ENSG00000165309	ARMC3	7	0.073585553
ENSG00000165304	MELK	1725	28.46362956
ENSG00000165300	SLITRK5	203	0.902369119
ENSG00000101608	MYL12A	2741	40.06901847
ENSG00000101605	MYOM1	3	0.029058921
ENSG00000170100	ZNF778	123	0.638950511
ENSG00000237026	RP11-328P23.2	0	0
ENSG00000187900	OR5H7P	1	0.100821886
ENSG00000198791	CNOT7	2319	16.15331399
ENSG00000198792	TMEM184B	956	5.157508746
ENSG00000198793	MTOR	2417	16.5146508
ENSG00000198794	SCAMP5	215	1.35303734
ENSG00000198795	ZNF521	22	0.199280125
ENSG00000198796	ALPK2	1996	13.11644086
ENSG00000198797	BRINP2	0	0
ENSG00000231426	RP5-899B16.1	0	0
ENSG00000197776	KLHDC1	22	0.490550268
ENSG00000231424	RP1-45C12.1	0	0
ENSG00000175550	DRAP1	961	20.65713859
ENSG00000231422	LINC01516	1	0.031338354
ENSG00000175556	LONRF3	15	0.185995587
ENSG00000197771	MCMBP	1113	13.32733654
ENSG00000231421	AC006050.2	0	0
ENSG00000279848	CTA-992D9.9	0	0
ENSG00000279849	AL023875.1	2	0.500301813
ENSG00000161682	FAM171A2	267	5.468609782
ENSG00000240173	RN7SL771P	1	0.314645482
ENSG00000179420	OR6W1P	0	0
ENSG00000279840	RP1-228P16.9	0	0
ENSG00000279841	RP11-274A11.4	0	0
ENSG00000279842	RP11-305A4.2	0	0
ENSG00000279844	RP11-20F18.1	0	0
ENSG00000279845	RP11-6L6.4	2	0.40260339
ENSG00000279846	RP11-20G13.4	0	0
ENSG00000279847	C8orf87	0	0
ENSG00000076321	KLHL20	172	2.593161201
ENSG00000183864	TOB2	460	8.083713454
ENSG00000183862	CNGA2	0	0
ENSG00000167680	SEMA6B	5	0.095947364
ENSG00000124217	MOCS3	228	4.188761854
ENSG00000124214	STAU1	2142	25.80032811
ENSG00000124215	CDH26	0	0
ENSG00000124212	PTGIS	75	1.209463986
ENSG00000167685	ZNF444	250	1.839049797
ENSG00000247595	SPTY2D1-AS1	4	0.138204921
ENSG00000161970	RPL26	9062	155.122632
ENSG00000175073	VCPIP1	646	6.095232717
ENSG00000161973	CCDC42	0	0
ENSG00000255279	RP11-375D13.4	0	0
ENSG00000255275	RP13-279N23.2	0	0
ENSG00000255274	TMPRSS4-AS1	0	0
ENSG00000255277	ABCC6P2	1	0.072349038
ENSG00000255276	RRM1-AS1	0	0
ENSG00000255271	RP4-594L9.2	0	0
ENSG00000255270	NAV2-IT1	0	0
ENSG00000255273	AF238378.7	0	0
ENSG00000255272	RP11-646J21.6	0	0
ENSG00000239670	RP4-803A2.2	1	0.108649309
ENSG00000160087	UBE2J2	819	5.895733366
ENSG00000036054	TBC1D23	646	6.264089691
ENSG00000104903	LYL1	0	0
ENSG00000228349	RPS26P4	0	0
ENSG00000002587	HS3ST1	26	0.281571385
ENSG00000002586	CD99	1546	22.39067419
ENSG00000231013	AC013275.2	0	0
ENSG00000263590	RP11-403I13.7	0	0
ENSG00000237868	AC097533.1	8	1.566707139
ENSG00000177954	RPS27	184	11.59189259
ENSG00000177951	BET1L	326	3.73712133
ENSG00000280059	RP11-401I19.2	0	0
ENSG00000280058	RP1-131F15.3	0	0
ENSG00000198242	RPL23A	1701	39.85124273
ENSG00000280056	RP11-562F9.3	0	0
ENSG00000237862	RP1-63G5.7	4	0.19095489
ENSG00000237863	RP6-24A23.3	1	0.055383552
ENSG00000198246	SLC29A3	23	0.608949854
ENSG00000223012	RN7SKP264	0	0
ENSG00000280051	RP11-206B11.1	0	0
ENSG00000280050	AC008622.1	0	0
ENSG00000135917	SLC19A3	43	0.462467454
ENSG00000135916	ITM2C	671	10.97541598
ENSG00000135914	HTR2B	2	0.083532137
ENSG00000135913	USP37	305	1.991846506
ENSG00000135912	TTLL4	408	2.101868293
ENSG00000092148	HECTD1	2603	12.87245412
ENSG00000034693	PEX3	302	10.16122872
ENSG00000135919	SERPINE2	4955	38.82150145
ENSG00000230487	PSMG3-AS1	23	0.168911715
ENSG00000176396	EID2	247	11.69616406
ENSG00000230484	OR51A10P	0	0
ENSG00000176390	CRLF3	252	4.198787955
ENSG00000230482	ATP5G2P3	0	0
ENSG00000230481	IGKV1OR22-5	0	0
ENSG00000176393	RNPEP	1136	17.14899643
ENSG00000176399	DMRTA1	7	0.117903375
ENSG00000230489	VAV3-AS1	0	0
ENSG00000243900	RN7SL320P	0	0
ENSG00000243902	ELFN2	6	0.230294411
ENSG00000243903	RP11-285B24.1	0	0
ENSG00000243904	RPSAP5	2	0.212232104
ENSG00000083635	NUFIP1	204	5.480085874
ENSG00000248029	CTD-2313F11.3	0	0
ENSG00000248027	CTD-2383M3.1	6	0.301790638
ENSG00000063515	GSC2	0	0
ENSG00000279713	CTD-3035K23.3	9	0.432488255
ENSG00000247624	CPEB2-AS1	0	0
ENSG00000247627	MTND4P12	62	4.223680882
ENSG00000167531	LALBA	0	0
ENSG00000167536	DHRS13	68	1.286576869
ENSG00000167535	CACNB3	267	1.745747041
ENSG00000236472	AC002401.1	0	0
ENSG00000188886	ASTL	0	0
ENSG00000279716	AC006128.2	9	0.508258322
ENSG00000188883	KLRG2	3	0.084118844
ENSG00000279717	LLNLF-158E9.1	0	0
ENSG00000241506	PSMC1P1	1200	85.27839814
ENSG00000241505	RP11-161I10.1	0	0
ENSG00000094796	KRT31	0	0
ENSG00000279719	RP11-81A1.7	0	0
ENSG00000226453	RP11-379B8.1	0	0
ENSG00000239249	RN7SL757P	0	0
ENSG00000237289	CKMT1B	0	0
ENSG00000239739	RP11-373E16.4	0	0
ENSG00000237285	HNRNPA1P2	0	0
ENSG00000237286	AC004906.3	0	0
ENSG00000237280	RP11-96C23.9	0	0
ENSG00000237281	CATIP-AS2	0	0
ENSG00000237282	LINC00851	0	0
ENSG00000237283	RP11-316I3.1	0	0
ENSG00000272254	RP11-531A24.7	0	0
ENSG00000272255	CTD-3224K15.3	0	0
ENSG00000272256	RP11-489E7.4	2	0.264243915
ENSG00000272250	RP11-346C20.4	1	0.182066706
ENSG00000272259	RP11-305P22.9	0	0
ENSG00000101327	PDYN	0	0
ENSG00000271781	CTD-2589H19.6	12	1.423108823
ENSG00000271780	RP11-1017G21.5	15	1.304037639
ENSG00000271787	RP11-254F7.3	0	0
ENSG00000271784	RP1-28H20.3	0	0
ENSG00000200475	RN7SKP162	0	0
ENSG00000049192	ADAMTS6	629	4.308758133
ENSG00000271789	RP5-1112D6.7	0	0
ENSG00000271788	CTD-2201E18.5	6	0.69400683
ENSG00000274363	RP11-104O19.4	1	0.126708586
ENSG00000200472	RN7SKP44	0	0
ENSG00000101323	HAO1	0	0
ENSG00000237136	C4orf51	0	0
ENSG00000177042	TMEM80	145	1.983943014
ENSG00000237135	DDX10P1	1	0.048507167
ENSG00000177047	IFNW1	0	0
ENSG00000129566	TEP1	260	1.43072851
ENSG00000177045	SIX5	413	4.55627366
ENSG00000272789	RP11-286H15.1	0	0
ENSG00000272787	KB-226F1.2	1	0.141424365
ENSG00000272784	RP11-335L23.5	0	0
ENSG00000154252	GAL3ST2	1	0.068441134
ENSG00000272783	RP13-1016M1.2	0	0
ENSG00000237138	HUNK-AS1	0	0
ENSG00000237139	RP11-137L10.5	0	0
ENSG00000277550	RP5-1057B20.3	0	0
ENSG00000141232	TOB1	267	5.462646194
ENSG00000277556	OR13C5	1	0.097977381
ENSG00000277558	RP3-468O1.6	0	0
ENSG00000277559	RP11-434E6.4	6	0.386035349
ENSG00000172671	ZFAND4	19	0.176971797
ENSG00000112337	SLC17A2	0	0
ENSG00000274098	RN7SL787P	0	0
ENSG00000274099	ABCB10P1	0	0
ENSG00000279068	CH17-140K24.5	0	0
ENSG00000223761	RP11-57C13.4	0	0
ENSG00000223764	RP11-54O7.3	139	2.112959611
ENSG00000223765	RP1-288M22.2	0	0
ENSG00000279062	CH507-216K13.1	0	0
ENSG00000279063	CTD-2537I9.15	0	0
ENSG00000223768	LINC00205	13	0.876666738
ENSG00000279061	RP3-332O11.2	0	0
ENSG00000236427	RP11-107M16.2	0	0
ENSG00000236426	RP11-79M19.2	0	0
ENSG00000236425	AC090018.1	0	0
ENSG00000279065	RP11-264J4.10	0	0
ENSG00000136750	GAD2	1	0.012340663
ENSG00000136754	ABI1	543	6.009528922
ENSG00000136758	YME1L1	2484	21.71213568
ENSG00000270781	RP11-501C14.9	1	0.311509481
ENSG00000270782	RP11-500K19.2	0	0
ENSG00000232508	MRPL45P1	0	0
ENSG00000232500	AP005273.1	0	0
ENSG00000232502	AC073464.7	0	0
ENSG00000232503	CYCSP8	0	0
ENSG00000232504	ST3GAL5-AS1	0	0
ENSG00000232505	XXbac-BPG308J9.3	0	0
ENSG00000249087	ZNF436-AS1	17	0.317663305
ENSG00000116014	KISS1R	0	0
ENSG00000116017	ARID3A	159	1.690299814
ENSG00000116016	EPAS1	5997	49.04585577
ENSG00000249082	C5orf66-AS1	3	0.213164798
ENSG00000249081	OR5M14P	0	0
ENSG00000234034	AP000959.2	0	0
ENSG00000250567	CTD-2154H6.1	0	0
ENSG00000234033	RAC1P8	0	0
ENSG00000146676	PURB	871	9.009289245
ENSG00000242860	RN7SL180P	0	0
ENSG00000197674	OR51C1P	0	0
ENSG00000234030	TMEM97P1	0	0
ENSG00000187243	MAGED4B	230	1.998465284
ENSG00000120440	TTLL2	0	0
ENSG00000249156	RP11-432M8.9	0	0
ENSG00000250560	RP11-598G2.1	0	0
ENSG00000274459	Metazoa_SRP	0	0
ENSG00000180211	RP1-278E11.3	24	5.360376567
ENSG00000271259	RP11-1109F11.5	0	0
ENSG00000187244	BCAM	69	0.638702632
ENSG00000276208	RP11-168J5.2	0	0
ENSG00000271254	AC240274.1	250	3.922321961
ENSG00000276205	RP11-529O20.2	0	0
ENSG00000276204	RP11-203I2.2	0	0
ENSG00000276203	ANKRD20A3	1	0.007833279
ENSG00000276202	Metazoa_SRP	0	0
ENSG00000223867	AC098592.7	0	0
ENSG00000276200	RN7SL820P	0	0
ENSG00000186118	TEX38	0	0
ENSG00000270124	RP11-118F19.1	2	0.312168352
ENSG00000270127	RP11-526I2.5	29	1.138697728
ENSG00000270120	RP11-327F22.6	0	0
ENSG00000174099	MSRB3	128	0.802295806
ENSG00000278338	VWA8-AS1	0	0
ENSG00000224233	OR2J4P	0	0
ENSG00000235199	CYP2C58P	0	0
ENSG00000224235	RP5-1027O11.1	0	0
ENSG00000187969	ZCCHC13	0	0
ENSG00000137409	MTCH1	1929	35.19785916
ENSG00000224236	MRRFP1	0	0
ENSG00000224239	AC090044.2	0	0
ENSG00000278330	RP11-4B16.4	2	0.04792163
ENSG00000235191	NUCB1-AS1	1	0.216545852
ENSG00000235196	RP1-3E10.2	0	0
ENSG00000235197	ZNF33AP1	0	0
ENSG00000264655	CTD-2267D19.4	0	0
ENSG00000275576	RP5-836N17.4	2	0.408743311
ENSG00000275572	GRIFIN	0	0
ENSG00000060138	YBX3	1868	12.14934717
ENSG00000275578	RP11-357E16.1	0	0
ENSG00000281593	GS1-114I9.3	0	0
ENSG00000044012	GUCA2B	0	0
ENSG00000231857	MORF4L1P5	0	0
ENSG00000282998	RP11-152D8.1	0	0
ENSG00000175946	KLHL38	6	0.28397555
ENSG00000231852	CYP21A2	1	0.010296986
ENSG00000231851	UTAT33	2	0.197904198
ENSG00000130751	NPAS1	20	0.322248677
ENSG00000180818	HOXC10	281	5.61079716
ENSG00000231859	AC007875.2	0	0
ENSG00000130755	GMFG	0	0
ENSG00000233437	RP13-580B18.1	0	0
ENSG00000186115	CYP4F2	1	0.017863279
ENSG00000206150	RNASE13	1	0.058347451
ENSG00000110756	HPS5	251	2.428605195
ENSG00000248840	RP11-357G3.2	0	0
ENSG00000248842	CTB-1H10.1	0	0
ENSG00000248843	RP11-357G3.1	0	0
ENSG00000248844	RP11-626H12.3	0	0
ENSG00000248846	CTD-2016O11.1	0	0
ENSG00000248847	RP11-26C10.1	0	0
ENSG00000248848	PPBPP2	0	0
ENSG00000134278	SPIRE1	1506	10.47003762
ENSG00000230813	RP11-690C23.5	0	0
ENSG00000230814	USP9YP24	0	0
ENSG00000230815	RP11-49O14.3	0	0
ENSG00000064726	BTBD1	1364	23.94305423
ENSG00000230818	MTND2P16	0	0
ENSG00000230819	ZNF736P5Y	0	0
ENSG00000217791	ASS1P9	2	0.151790599
ENSG00000072506	HSD17B10	875	43.89329975
ENSG00000181135	ZNF707	181	0.80987124
ENSG00000134183	GNAT2	0	0
ENSG00000069712	KIAA1107	15	0.308835955
ENSG00000270587	RP11-51F16.9	1	0.227032333
ENSG00000134186	PRPF38B	1174	12.65408643
ENSG00000134184	GSTM1	95	1.932260149
ENSG00000262712	RP11-295D4.1	47	2.262117748
ENSG00000262714	RP11-44F14.8	0	0
ENSG00000248211	TRPC7-AS1	0	0
ENSG00000248210	RP11-24I21.1	0	0
ENSG00000248213	CICP16	1	0.033332511
ENSG00000037042	TUBG2	212	5.71956071
ENSG00000260622	RP11-690I21.3	0	0
ENSG00000260620	RP11-883G14.4	0	0
ENSG00000260621	RP11-413H22.2	0	0
ENSG00000260626	RP11-23E10.3	0	0
ENSG00000078487	ZCWPW1	10	0.140513166
ENSG00000260625	RP11-452L6.7	0	0
ENSG00000248215	RP11-722M1.1	0	0
ENSG00000260628	RP11-1166P10.1	0	0
ENSG00000260629	BGLT3	0	0
ENSG00000042753	AP2S1	976	23.81141583
ENSG00000196096	AC079610.2	0	0
ENSG00000248216	KCTD9P5	2	0.160353145
ENSG00000105855	ITGB8	271	1.431227292
ENSG00000105854	PON2	1190	11.63776268
ENSG00000111481	COPZ1	1250	14.58611955
ENSG00000105856	HBP1	431	3.351891357
ENSG00000105851	PIK3CG	0	0
ENSG00000079689	SCGN	1	0.037341439
ENSG00000105852	PON3	1	0.017261479
ENSG00000142252	GEMIN7	175	4.124651005
ENSG00000012174	MBTPS2	614	6.217291968
ENSG00000131002	TXLNGY	0	0
ENSG00000012171	SEMA3B	14	0.07314354
ENSG00000220447	RP1-276J11.2	0	0
ENSG00000131007	TTTY9B	0	0
ENSG00000135587	SMPD2	77	3.026001335
ENSG00000084710	EFR3B	378	2.887282961
ENSG00000257022	RP11-729I10.2	0	0
ENSG00000214110	LDHAP4	232	21.8066577
ENSG00000196098	OR5K4	0	0
ENSG00000071082	RPL31	2722	29.82601613
ENSG00000124490	CRISP2	0	0
ENSG00000139780	METTL21C	0	0
ENSG00000180660	MAB21L1	4	0.123918877
ENSG00000180663	VN1R3	0	0
ENSG00000180662	RPL21P8	0	0
ENSG00000180667	YOD1	313	4.394751674
ENSG00000188419	CHM	725	6.248000187
ENSG00000135632	SMYD5	316	6.198828511
ENSG00000135631	RAB11FIP5	351	3.516606467
ENSG00000135636	DYSF	92	0.871210001
ENSG00000135637	CCDC142	65	0.609312092
ENSG00000147155	EBP	449	10.021183
ENSG00000112539	C6orf118	0	0
ENSG00000263443	RP11-973F15.2	0	0
ENSG00000114503	NCBP2	901	5.086323757
ENSG00000258629	CTD-2014B16.1	0	0
ENSG00000184992	BRI3BP	843	11.89510524
ENSG00000116670	MAD2L2	969	15.74267501
ENSG00000259767	RP11-90B9.2	3	0.619774303
ENSG00000224296	MRPL49P1	0	0
ENSG00000115677	HDLBP	5931	19.93995881
ENSG00000259763	RP11-327J17.1	0	0
ENSG00000259762	RP11-158M2.4	1	0.189806384
ENSG00000259761	RP11-138H10.2	0	0
ENSG00000259760	RP11-20G13.2	0	0
ENSG00000259769	RP11-1360M22.2	0	0
ENSG00000259768	RP5-991G20.1	68	1.317399445
ENSG00000261971	MMP25-AS1	20	0.223535303
ENSG00000250038	RP11-180C1.1	0	0
ENSG00000258624	SERPINE4P	0	0
ENSG00000261978	CTD-2529O21.2	0	0
ENSG00000267593	RP11-108P20.4	0	0
ENSG00000116852	KIF21B	21	0.142818542
ENSG00000226284	ARPC3P1	7	1.231902239
ENSG00000267594	CYP4F24P	0	0
ENSG00000267597	RPIAP1	0	0
ENSG00000263196	MTND3P13	0	0
ENSG00000263199	RP11-372K20.1	0	0
ENSG00000219747	RP1-292B18.1	43	9.959607729
ENSG00000162591	MEGF6	2049	21.46387322
ENSG00000125255	SLC10A2	0	0
ENSG00000227258	SMIM2-AS1	3	0.083002222
ENSG00000227256	MIS18A-AS1	2	0.243970325
ENSG00000227257	RP11-330M2.3	0	0
ENSG00000227254	VDAC1P12	1	0.106308791
ENSG00000227255	CDRT15P2	0	0
ENSG00000227252	AC105760.2	5	0.200337767
ENSG00000227253	RP11-166N17.1	2	0.137445553
ENSG00000267734	RP4-604K5.3	0	0
ENSG00000105143	SLC1A6	521	4.421697473
ENSG00000105141	CASP14	4	0.096014933
ENSG00000105146	AURKC	5	0.123224045
ENSG00000267630	AC005758.1	0	0
ENSG00000267631	CGB1	2	0.15752576
ENSG00000267632	RP11-400F19.18	3	0.162083833
ENSG00000267633	CTB-5E10.3	2	0.128855206
ENSG00000267634	RPL7L1P5	0	0
ENSG00000267636	AC008992.1	0	0
ENSG00000267637	RP11-619I22.1	0	0
ENSG00000186543	CROCCP5	0	0
ENSG00000235949	AC061961.2	0	0
ENSG00000211798	TRAV18	0	0
ENSG00000235940	MTND1P21	0	0
ENSG00000235943	TMEM212-IT1	0	0
ENSG00000235942	LCE6A	0	0
ENSG00000146205	ANO7	19	0.144337785
ENSG00000235944	ZNF815P	3	0.07469539
ENSG00000235947	EGOT	0	0
ENSG00000235946	LL0XNC01-240C2.1	7	1.323798172
ENSG00000164418	GRIK2	1	0.009979178
ENSG00000242509	RN7SL156P	0	0
ENSG00000164411	GJB7	1	0.016983219
ENSG00000164414	SLC35A1	144	3.258881659
ENSG00000280163	CTC-277H1.6	0	0
ENSG00000222154	RN7SKP218	0	0
ENSG00000100532	CGRRF1	109	1.289716961
ENSG00000198937	CCDC167	123	18.64001345
ENSG00000276478	RP11-65B23.5	1	0.125858193
ENSG00000077454	LRCH4	235	1.856059773
ENSG00000186265	BTLA	0	0
ENSG00000273419	RP4-751H13.7	0	0
ENSG00000077458	FAM76B	193	1.282106764
ENSG00000226285	AC091813.2	0	0
ENSG00000259168	RP11-100M12.3	0	0
ENSG00000224540	RP11-385M4.3	0	0
ENSG00000262953	EIF4A1P9	1	0.077683806
ENSG00000212658	KRTAP29-1	0	0
ENSG00000212659	KRTAP9-6	0	0
ENSG00000265908	RP11-20B24.6	4	0.626421302
ENSG00000265905	RN7SL96P	0	0
ENSG00000229433	RP11-329B9.1	0	0
ENSG00000212657	KRTAP16-1	0	0
ENSG00000253140	RP11-567J20.3	0	0
ENSG00000260367	RP11-264B17.4	5	0.31731442
ENSG00000260366	CTD-2639E6.4	0	0
ENSG00000260364	RP11-256I9.3	0	0
ENSG00000260362	RP11-297M9.1	0	0
ENSG00000260361	CTD-2313J17.5	11	0.594372265
ENSG00000280160	RP11-196G11.3	5	0.211447571
ENSG00000260369	CTD-2526A2.2	3	0.282791491
ENSG00000260368	RP11-521I2.3	4	0.328569492
