gene_id	gene_name	SUM-159159_count	SUM159_FPKM											
ENSG00000225816	GTF3AP5	0	0											
ENSG00000280881	RP11-275E15.2	0	0											
ENSG00000225814	GRPEL2P2	0	0											
ENSG00000225815	AC092669.6	2	0.10150437											
ENSG00000225813	AC009299.4	0	0											
ENSG00000225811	RP11-547I7.1	0	0											
ENSG00000225818	AC118653.2	0	0											
ENSG00000225819	AC013269.3	0	0											
ENSG00000229306	AP001464.4	0	0											
ENSG00000229307	LINC00459	0	0											
ENSG00000229305	RP11-431K24.2	0	0											
ENSG00000229302	TAF9P2	0	0											
ENSG00000229303	PPIAP25	0	0											
ENSG00000229301	RP5-905H7.8	0	0											
ENSG00000229308	AC010084.1	0	0											
ENSG00000229309	RP11-452B18.2	0	0											
ENSG00000278071	RP11-736N17.10	0	0											
ENSG00000240174	RP11-851M3.1	1	0.170778779											
ENSG00000278077	RP11-157L3.10	0	0											
ENSG00000278075	RP11-248M19.1	5	1.402208168											
ENSG00000055070	SZRD1	1721	16.61911782											
ENSG00000227411	BAATP1	0	0											
ENSG00000155719	OTOA	1	0.010814039											
ENSG00000227413	RP5-1042K10.12	0	0											
ENSG00000227416	RP11-109P14.2	0	0											
ENSG00000227417	RP11-397P13.6	0	0											
ENSG00000162337	LRP5	1555	18.8884719											
ENSG00000155714	PDZD9	0	0											
ENSG00000182010	RTKN2	133	1.3247187											
ENSG00000182013	PNMAL1	4	0.053129924											
ENSG00000244748	RN7SL153P	0	0											
ENSG00000186704	DTX2P1	20	1.198758145											
ENSG00000251776	RN7SKP242	0	0											
ENSG00000245293	RP11-286E11.1	0	0											
ENSG00000164659	KIAA1324L	401	3.321471942											
ENSG00000242748	RPL23AP81	1	0.209542271											
ENSG00000242747	RP11-30K9.1	0	0											
ENSG00000164651	SP8	14	0.268642454											
ENSG00000242741	RP11-20B7.1	2	0.250386099											
ENSG00000164654	MIOS	280	2.289779137											
ENSG00000114978	MOB1A	2431	29.40510692											
ENSG00000252233	RN7SKP253	0	0											
ENSG00000256925	ADGRA1-AS1	0	0											
ENSG00000161021	MAML1	747	6.241789514											
ENSG00000256922	RP11-749H20.1	0	0											
ENSG00000256923	RP11-449P1.1	0	0											
ENSG00000226331	RPL23AP28	0	0											
ENSG00000261608	SLC25A1P4	0	0											
ENSG00000256928	RP11-809N8.2	1	0.130127979											
ENSG00000254694	RP11-50B3.4	0	0											
ENSG00000254695	RP11-396O20.1	0	0											
ENSG00000254696	RP11-72M10.7	0	0											
ENSG00000254697	COPS8P3	0	0											
ENSG00000254690	GS1-393G12.12	0	0											
ENSG00000254691	RP11-91P24.5	0	0											
ENSG00000266929	RP11-400F19.8	1	0.164741146											
ENSG00000266928	CTB-70G10.1	0	0											
ENSG00000266925	RP11-434D2.7	0	0											
ENSG00000266924	RP11-154H12.2	10	1.539042059											
ENSG00000254698	RP11-659G9.3	0	0											
ENSG00000254699	RP11-12D16.2	0	0											
ENSG00000266921	RP11-15A1.7	3	0.062136727											
ENSG00000266920	ACTBP9	1	0.089041165											
ENSG00000257343	RP11-641A6.8	0	0											
ENSG00000257342	RP11-571M6.7	0	0											
ENSG00000257341	AL928654.7	2	0.100928829											
ENSG00000215867	KRT18P57	0	0											
ENSG00000257346	RP11-386G11.8	0	0											
ENSG00000257345	RP11-511B23.1	1	0.060367823											
ENSG00000234337	RP11-297L17.6	76	10.06612076											
ENSG00000215861	WI2-1896O14.1	22	2.308010696											
ENSG00000119509	INVS	249	3.232803748											
ENSG00000228949	UGT1A12P	1	0.114720094											
ENSG00000256699	RP11-669N7.3	0	0											
ENSG00000256694	RP11-598F7.5	0	0											
ENSG00000256695	RP1-166H1.2	0	0											
ENSG00000228943	RP5-1053E7.2	0	0											
ENSG00000267733	RP11-64C12.3	0	0											
ENSG00000228940	RP11-348A7.1	0	0											
ENSG00000165309	ARMC3	1	0.010966742											
ENSG00000165304	MELK	987	16.99341157											
ENSG00000165300	SLITRK5	15	0.069573113											
ENSG00000101608	MYL12A	2705	41.25997582											
ENSG00000101605	MYOM1	3	0.030327189											
ENSG00000170100	ZNF778	109	0.590814277											
ENSG00000237026	RP11-328P23.2	0	0											
ENSG00000187900	OR5H7P	0	0											
ENSG00000198791	CNOT7	1005	7.304471292											
ENSG00000198792	TMEM184B	2122	11.94508927											
ENSG00000198793	MTOR	1097	7.820986613											
ENSG00000198794	SCAMP5	128	0.840509863											
ENSG00000198795	ZNF521	2	0.0189071											
ENSG00000198796	ALPK2	318	2.180441199											
ENSG00000198797	BRINP2	2	0.033419001											
ENSG00000231426	RP5-899B16.1	1	0.060855871											
ENSG00000197776	KLHDC1	16	0.372250449											
ENSG00000231424	RP1-45C12.1	1	0.235231347											
ENSG00000175550	DRAP1	686	15.38626502											
ENSG00000231422	LINC01516	0	0											
ENSG00000175556	LONRF3	9	0.116442176											
ENSG00000197771	MCMBP	1607	20.0782593											
ENSG00000231421	AC006050.2	0	0											
ENSG00000279848	CTA-992D9.9	0	0											
ENSG00000279849	AL023875.1	0	0											
ENSG00000161682	FAM171A2	82	1.752440956											
ENSG00000240173	RN7SL771P	0	0											
ENSG00000179420	OR6W1P	0	0											
ENSG00000279840	RP1-228P16.9	0	0											
ENSG00000279841	RP11-274A11.4	0	0											
ENSG00000279842	RP11-305A4.2	0	0											
ENSG00000279844	RP11-20F18.1	1	0.071742112											
ENSG00000279845	RP11-6L6.4	10	2.10049517											
ENSG00000279846	RP11-20G13.4	0	0											
ENSG00000279847	C8orf87	1	0.083709359											
ENSG00000076321	KLHL20	223	3.50807121											
ENSG00000183864	TOB2	795	14.57747934											
ENSG00000183862	CNGA2	2	0.069090307											
ENSG00000167680	SEMA6B	2070	41.45078465											
ENSG00000124217	MOCS3	143	2.741253705											
ENSG00000124214	STAU1	1804	22.67275476											
ENSG00000124215	CDH26	3	0.033136783											
ENSG00000124212	PTGIS	0	0											
ENSG00000167685	ZNF444	114	0.875023123											
ENSG00000247595	SPTY2D1-AS1	2	0.072118574											
ENSG00000161970	RPL26	2927	52.28004154											
ENSG00000175073	VCPIP1	360	3.544230954											
ENSG00000161973	CCDC42	0	0											
ENSG00000255279	RP11-375D13.4	0	0											
ENSG00000255275	RP13-279N23.2	0	0											
ENSG00000255274	TMPRSS4-AS1	0	0											
ENSG00000255277	ABCC6P2	1	0.075506358											
ENSG00000255276	RRM1-AS1	0	0											
ENSG00000255271	RP4-594L9.2	0	0											
ENSG00000255270	NAV2-IT1	0	0											
ENSG00000255273	AF238378.7	0	0											
ENSG00000255272	RP11-646J21.6	1	0.201350289											
ENSG00000239670	RP4-803A2.2	0	0											
ENSG00000160087	UBE2J2	531	3.988510159											
ENSG00000036054	TBC1D23	312	3.156767751											
ENSG00000104903	LYL1	1	0.024842915											
ENSG00000228349	RPS26P4	0	0											
ENSG00000002587	HS3ST1	89	1.005697548											
ENSG00000002586	CD99	1882	28.44064833											
ENSG00000231013	AC013275.2	0	0											
ENSG00000263590	RP11-403I13.7	0	0											
ENSG00000237868	AC097533.1	3	0.613065072											
ENSG00000177954	RPS27	124	8.151192484											
ENSG00000177951	BET1L	462	5.526151262											
ENSG00000280059	RP11-401I19.2	0	0											
ENSG00000280058	RP1-131F15.3	0	0											
ENSG00000198242	RPL23A	1299	31.75475188											
ENSG00000280056	RP11-562F9.3	0	0											
ENSG00000237862	RP1-63G5.7	2	0.099644748											
ENSG00000237863	RP6-24A23.3	0	0											
ENSG00000198246	SLC29A3	35	0.966913195											
ENSG00000223012	RN7SKP264	0	0											
ENSG00000280051	RP11-206B11.1	0	0											
ENSG00000280050	AC008622.1	0	0											
ENSG00000135917	SLC19A3	18	0.202001785											
ENSG00000135916	ITM2C	567	9.677054154											
ENSG00000135914	HTR2B	1	0.043569119											
ENSG00000135913	USP37	244	1.66268009											
ENSG00000135912	TTLL4	292	1.569603478											
ENSG00000092148	HECTD1	1848	9.535671991											
ENSG00000034693	PEX3	244	8.566261408											
ENSG00000135919	SERPINE2	4372	35.74134004											
ENSG00000230487	PSMG3-AS1	42	0.321846554											
ENSG00000176396	EID2	306	15.11926042											
ENSG00000230484	OR51A10P	0	0											
ENSG00000176390	CRLF3	192	3.338003557											
ENSG00000230482	ATP5G2P3	0	0											
ENSG00000230481	IGKV1OR22-5	0	0											
ENSG00000176393	RNPEP	1293	20.36672025											
ENSG00000176399	DMRTA1	0	0											
ENSG00000230489	VAV3-AS1	0	0											
ENSG00000243900	RN7SL320P	0	0											
ENSG00000243902	ELFN2	21	0.841046538											
ENSG00000243903	RP11-285B24.1	0	0											
ENSG00000243904	RPSAP5	2	0.221495395											
ENSG00000083635	NUFIP1	103	2.887058382											
ENSG00000248029	CTD-2313F11.3	0	0											
ENSG00000248027	CTD-2383M3.1	0	0											
ENSG00000063515	GSC2	0	0											
ENSG00000279713	CTD-3035K23.3	35	1.75500689											
ENSG00000247624	CPEB2-AS1	2	0.063386834											
ENSG00000247627	MTND4P12	83	5.899808147											
ENSG00000167531	LALBA	0	0											
ENSG00000167536	DHRS13	225	4.441916296											
ENSG00000167535	CACNB3	215	1.466800742											
ENSG00000236472	AC002401.1	1	0.209094531											
ENSG00000188886	ASTL	0	0											
ENSG00000279716	AC006128.2	94	5.539267194											
ENSG00000188883	KLRG2	1	0.029254481											
ENSG00000279717	LLNLF-158E9.1	0	0											
ENSG00000241506	PSMC1P1	658	48.7916441											
ENSG00000241505	RP11-161I10.1	0	0											
ENSG00000094796	KRT31	1	0.061313434											
ENSG00000279719	RP11-81A1.7	0	0											
ENSG00000226453	RP11-379B8.1	4	0.476294903											
ENSG00000239249	RN7SL757P	0	0											
ENSG00000237289	CKMT1B	2	0.025608413											
ENSG00000239739	RP11-373E16.4	0	0											
ENSG00000237285	HNRNPA1P2	0	0											
ENSG00000237286	AC004906.3	1	0.100986832											
ENSG00000237280	RP11-96C23.9	0	0											
ENSG00000237281	CATIP-AS2	0	0											
ENSG00000237282	LINC00851	0	0											
ENSG00000237283	RP11-316I3.1	0	0											
ENSG00000272254	RP11-531A24.7	0	0											
ENSG00000272255	CTD-3224K15.3	0	0											
ENSG00000272256	RP11-489E7.4	3	0.413603056											
ENSG00000272250	RP11-346C20.4	2	0.380197921											
ENSG00000272259	RP11-305P22.9	0	0											
ENSG00000101327	PDYN	1	0.018840247											
ENSG00000271781	CTD-2589H19.6	7	0.866210594											
ENSG00000271780	RP11-1017G21.5	14	1.270014049											
ENSG00000271787	RP11-254F7.3	0	0											
ENSG00000271784	RP1-28H20.3	0	0											
ENSG00000200475	RN7SKP162	0	0											
ENSG00000049192	ADAMTS6	573	4.095605514											
ENSG00000271789	RP5-1112D6.7	3	0.212027559											
ENSG00000271788	CTD-2201E18.5	0	0											
ENSG00000274363	RP11-104O19.4	0	0											
ENSG00000200472	RN7SKP44	0	0											
ENSG00000101323	HAO1	0	0											
ENSG00000237136	C4orf51	0	0											
ENSG00000177042	TMEM80	112	1.598976426											
ENSG00000237135	DDX10P1	3	0.151918349											
ENSG00000177047	IFNW1	0	0											
ENSG00000129566	TEP1	369	2.118714064											
ENSG00000177045	SIX5	358	4.121019836											
ENSG00000272789	RP11-286H15.1	0	0											
ENSG00000272787	KB-226F1.2	3	0.442923333											
ENSG00000272784	RP11-335L23.5	0	0											
ENSG00000154252	GAL3ST2	1	0.071427913											
ENSG00000272783	RP13-1016M1.2	0	0											
ENSG00000237138	HUNK-AS1	0	0											
ENSG00000237139	RP11-137L10.5	0	0											
ENSG00000277550	RP5-1057B20.3	0	0											
ENSG00000141232	TOB1	464	9.905408441											
ENSG00000277556	OR13C5	0	0											
ENSG00000277558	RP3-468O1.6	0	0											
ENSG00000277559	RP11-434E6.4	25	1.678348525											
ENSG00000172671	ZFAND4	48	0.466513988											
ENSG00000112337	SLC17A2	0	0											
ENSG00000274098	RN7SL787P	0	0											
ENSG00000274099	ABCB10P1	0	0											
ENSG00000279068	CH17-140K24.5	0	0											
ENSG00000223761	RP11-57C13.4	0	0											
ENSG00000223764	RP11-54O7.3	66	1.046837221											
ENSG00000223765	RP1-288M22.2	0	0											
ENSG00000279062	CH507-216K13.1	0	0											
ENSG00000279063	CTD-2537I9.15	0	0											
ENSG00000223768	LINC00205	43	3.025738512											
ENSG00000279061	RP3-332O11.2	0	0											
ENSG00000236427	RP11-107M16.2	0	0											
ENSG00000236426	RP11-79M19.2	0	0											
ENSG00000236425	AC090018.1	0	0											
ENSG00000279065	RP11-264J4.10	0	0											
ENSG00000136750	GAD2	1	0.01287921											
ENSG00000136754	ABI1	518	5.981805918											
ENSG00000136758	YME1L1	2373	21.6426688											
ENSG00000270781	RP11-501C14.9	1	0.325103789											
ENSG00000270782	RP11-500K19.2	0	0											
ENSG00000232508	MRPL45P1	4	0.428352746											
ENSG00000232500	AP005273.1	0	0											
ENSG00000232502	AC073464.7	0	0											
ENSG00000232503	CYCSP8	0	0											
ENSG00000232504	ST3GAL5-AS1	3	0.375042362											
ENSG00000232505	XXbac-BPG308J9.3	0	0											
ENSG00000249087	ZNF436-AS1	89	1.735329115											
ENSG00000116014	KISS1R	0	0											
ENSG00000116017	ARID3A	334	3.704879392											
ENSG00000116016	EPAS1	5397	46.05562691											
ENSG00000249082	C5orf66-AS1	0	0											
ENSG00000249081	OR5M14P	0	0											
ENSG00000234034	AP000959.2	0	0											
ENSG00000250567	CTD-2154H6.1	0	0											
ENSG00000234033	RAC1P8	0	0											
ENSG00000146676	PURB	1695	18.29380194											
ENSG00000242860	RN7SL180P	0	0											
ENSG00000197674	OR51C1P	0	0											
ENSG00000234030	TMEM97P1	0	0											
ENSG00000187243	MAGED4B	1	0.00906412											
ENSG00000120440	TTLL2	1	0.019056717											
ENSG00000249156	RP11-432M8.9	0	0											
ENSG00000250560	RP11-598G2.1	0	0											
ENSG00000274459	Metazoa_SRP	0	0											
ENSG00000180211	RP1-278E11.3	11	2.563540452											
ENSG00000271259	RP11-1109F11.5	1	0.18121526											
ENSG00000187244	BCAM	152	1.468100106											
ENSG00000276208	RP11-168J5.2	0	0											
ENSG00000271254	AC240274.1	156	2.553811823											
ENSG00000276205	RP11-529O20.2	0	0											
ENSG00000276204	RP11-203I2.2	0	0											
ENSG00000276203	ANKRD20A3	3	0.024532846											
ENSG00000276202	Metazoa_SRP	0	0											
ENSG00000223867	AC098592.7	0	0											
ENSG00000276200	RN7SL820P	0	0											
ENSG00000186118	TEX38	1	0.031854245											
ENSG00000270124	RP11-118F19.1	0	0											
ENSG00000270127	RP11-526I2.5	10	0.409724047											
ENSG00000270120	RP11-327F22.6	0	0											
ENSG00000174099	MSRB3	943	6.167365816											
ENSG00000278338	VWA8-AS1	0	0											
ENSG00000224233	OR2J4P	0	0											
ENSG00000235199	CYP2C58P	0	0											
ENSG00000224235	RP5-1027O11.1	0	0											
ENSG00000187969	ZCCHC13	0	0											
ENSG00000137409	MTCH1	1818	34.61306345											
ENSG00000224236	MRRFP1	0	0											
ENSG00000224239	AC090044.2	0	0											
ENSG00000278330	RP11-4B16.4	1	0.024995208											
ENSG00000235191	NUCB1-AS1	0	0											
ENSG00000235196	RP1-3E10.2	0	0											
ENSG00000235197	ZNF33AP1	0	0											
ENSG00000264655	CTD-2267D19.4	0	0											
ENSG00000275576	RP5-836N17.4	0	0											
ENSG00000275572	GRIFIN	1	0.095006059											
ENSG00000060138	YBX3	2377	16.13122346											
ENSG00000275578	RP11-357E16.1	0	0											
ENSG00000281593	GS1-114I9.3	2	0.293996891											
ENSG00000044012	GUCA2B	0	0											
ENSG00000231857	MORF4L1P5	1	0.101827514											
ENSG00000282998	RP11-152D8.1	0	0											
ENSG00000175946	KLHL38	6	0.296325095											
ENSG00000231852	CYP21A2	2	0.021502518											
ENSG00000231851	UTAT33	3	0.309766002											
ENSG00000130751	NPAS1	23	0.386676438											
ENSG00000180818	HOXC10	457	9.521312287											
ENSG00000231859	AC007875.2	0	0											
ENSG00000130755	GMFG	15	0.437876946											
ENSG00000233437	RP13-580B18.1	0	0											
ENSG00000186115	CYP4F2	1	0.018642835											
ENSG00000206150	RNASE13	0	0											
ENSG00000110756	HPS5	413	4.169610847											
ENSG00000248840	RP11-357G3.2	1	0.172890884											
ENSG00000248842	CTB-1H10.1	0	0											
ENSG00000248843	RP11-357G3.1	0	0											
ENSG00000248844	RP11-626H12.3	0	0											
ENSG00000248846	CTD-2016O11.1	0	0											
ENSG00000248847	RP11-26C10.1	0	0											
ENSG00000248848	PPBPP2	0	0											
ENSG00000134278	SPIRE1	719	5.215720855											
ENSG00000230813	RP11-690C23.5	0	0											
ENSG00000230814	USP9YP24	0	0											
ENSG00000230815	RP11-49O14.3	0	0											
ENSG00000064726	BTBD1	1079	19.76281169											
ENSG00000230818	MTND2P16	0	0											
ENSG00000230819	ZNF736P5Y	0	0											
ENSG00000217791	ASS1P9	3	0.237587516											
ENSG00000072506	HSD17B10	566	29.62569483											
ENSG00000181135	ZNF707	107	0.499552696											
ENSG00000134183	GNAT2	4	0.241675562											
ENSG00000069712	KIAA1107	56	1.203092886											
ENSG00000270587	RP11-51F16.9	5	1.184916829											
ENSG00000134186	PRPF38B	955	10.74058831											
ENSG00000134184	GSTM1	0	0											
ENSG00000262712	RP11-295D4.1	17	0.853772873											
ENSG00000262714	RP11-44F14.8	0	0											
ENSG00000248211	TRPC7-AS1	1	0.212730958											
ENSG00000248210	RP11-24I21.1	0	0											
ENSG00000248213	CICP16	29	1.009081606											
ENSG00000037042	TUBG2	364	10.24683881											
ENSG00000260622	RP11-690I21.3	0	0											
ENSG00000260620	RP11-883G14.4	0	0											
ENSG00000260621	RP11-413H22.2	0	0											
ENSG00000260626	RP11-23E10.3	0	0											
ENSG00000078487	ZCWPW1	20	0.293225292											
ENSG00000260625	RP11-452L6.7	1	0.14939884											
ENSG00000248215	RP11-722M1.1	0	0											
ENSG00000260628	RP11-1166P10.1	0	0											
ENSG00000260629	BGLT3	0	0											
ENSG00000042753	AP2S1	1470	37.42092817											
ENSG00000196096	AC079610.2	0	0											
ENSG00000248216	KCTD9P5	1	0.083637812											
ENSG00000105855	ITGB8	997	5.494104609											
ENSG00000105854	PON2	931	9.500234943											
ENSG00000111481	COPZ1	1036	12.61396484											
ENSG00000105856	HBP1	703	5.704657139											
ENSG00000105851	PIK3CG	0	0											
ENSG00000079689	SCGN	1	0.038971024											
ENSG00000105852	PON3	0	0											
ENSG00000142252	GEMIN7	94	2.311739399											
ENSG00000012174	MBTPS2	932	9.847162113											
ENSG00000131002	TXLNGY	0	0											
ENSG00000012171	SEMA3B	205	1.117536034											
ENSG00000220447	RP1-276J11.2	0	0											
ENSG00000131007	TTTY9B	0	0											
ENSG00000135587	SMPD2	116	4.756638788											
ENSG00000084710	EFR3B	10	0.079702854											
ENSG00000257022	RP11-729I10.2	1	0.187464062											
ENSG00000214110	LDHAP4	355	34.81700751											
ENSG00000196098	OR5K4	0	0											
ENSG00000071082	RPL31	2729	31.20130257											
ENSG00000124490	CRISP2	4	0.17509589											
ENSG00000139780	METTL21C	0	0											
ENSG00000180660	MAB21L1	1	0.03231712											
ENSG00000180663	VN1R3	0	0											
ENSG00000180662	RPL21P8	0	0											
ENSG00000180667	YOD1	388	5.684393723											
ENSG00000188419	CHM	336	3.021374156											
ENSG00000135632	SMYD5	229	4.687272147											
ENSG00000135631	RAB11FIP5	1053	11.0079651											
ENSG00000135636	DYSF	45	0.444640036											
ENSG00000135637	CCDC142	121	1.183518281											
ENSG00000147155	EBP	347	8.080976606											
ENSG00000112539	C6orf118	1	0.034861504											
ENSG00000263443	RP11-973F15.2	0	0											
ENSG00000114503	NCBP2	618	3.640237474											
ENSG00000258629	CTD-2014B16.1	0	0											
ENSG00000184992	BRI3BP	682	10.04123738											
ENSG00000116670	MAD2L2	573	9.713408714											
ENSG00000259767	RP11-90B9.2	2	0.431281782											
ENSG00000224296	MRPL49P1	0	0											
ENSG00000115677	HDLBP	9932	34.84135933											
ENSG00000259763	RP11-327J17.1	0	0											
ENSG00000259762	RP11-158M2.4	0	0											
ENSG00000259761	RP11-138H10.2	1	0.192251946											
ENSG00000259760	RP11-20G13.2	0	0											
ENSG00000259769	RP11-1360M22.2	0	0											
ENSG00000259768	RP5-991G20.1	86	1.738474595											
ENSG00000261971	MMP25-AS1	40	0.466487972											
ENSG00000250038	RP11-180C1.1	0	0											
ENSG00000258624	SERPINE4P	0	0											
ENSG00000261978	CTD-2529O21.2	0	0											
ENSG00000267593	RP11-108P20.4	0	0											
ENSG00000116852	KIF21B	76	0.53932163											
ENSG00000226284	ARPC3P1	5	0.91814381											
ENSG00000267594	CYP4F24P	0	0											
ENSG00000267597	RPIAP1	0	0											
ENSG00000263196	MTND3P13	0	0											
ENSG00000263199	RP11-372K20.1	0	0											
ENSG00000219747	RP1-292B18.1	20	4.833511235											
ENSG00000162591	MEGF6	165	1.803485807											
ENSG00000125255	SLC10A2	0	0											
ENSG00000227258	SMIM2-AS1	3	0.086624829											
ENSG00000227256	MIS18A-AS1	2	0.254618893											
ENSG00000227257	RP11-330M2.3	1	0.250271715											
ENSG00000227254	VDAC1P12	0	0											
ENSG00000227255	CDRT15P2	0	0											
ENSG00000227252	AC105760.2	11	0.459926096											
ENSG00000227253	RP11-166N17.1	0	0											
ENSG00000267734	RP4-604K5.3	0	0											
ENSG00000105143	SLC1A6	0	0											
ENSG00000105141	CASP14	1	0.02503998											
ENSG00000105146	AURKC	2	0.051445594											
ENSG00000267630	AC005758.1	0	0											
ENSG00000267631	CGB1	0	0											
ENSG00000267632	RP11-400F19.18	8	0.451053468											
ENSG00000267633	CTB-5E10.3	4	0.26889726											
ENSG00000267634	RPL7L1P5	0	0											
ENSG00000267636	AC008992.1	0	0											
ENSG00000267637	RP11-619I22.1	0	0											
ENSG00000186543	CROCCP5	0	0											
ENSG00000235949	AC061961.2	0	0											
ENSG00000211798	TRAV18	0	0											
ENSG00000235940	MTND1P21	0	0											
ENSG00000235943	TMEM212-IT1	0	0											
ENSG00000235942	LCE6A	0	0											
ENSG00000146205	ANO7	42	0.332924039											
ENSG00000235944	ZNF815P	19	0.493686172											
ENSG00000235947	EGOT	0	0											
ENSG00000235946	LL0XNC01-240C2.1	1	0.197290807											
ENSG00000164418	GRIK2	109	1.135475118											
ENSG00000242509	RN7SL156P	0	0											
ENSG00000164411	GJB7	0	0											
