gene_id	gene_name	BT-474_count	BT-474_FPKM											
ENSG00000254690	GS1-393G12.12	0	0											
ENSG00000254691	RP11-91P24.5	1	0.171885728											
ENSG00000266929	RP11-400F19.8	0	0											
ENSG00000266928	CTB-70G10.1	0	0											
ENSG00000266925	RP11-434D2.7	0	0											
ENSG00000266924	RP11-154H12.2	0	0											
ENSG00000254698	RP11-659G9.3	0	0											
ENSG00000254699	RP11-12D16.2	0	0											
ENSG00000266921	RP11-15A1.7	2	0.040059797											
ENSG00000266920	ACTBP9	1	0.086177467											
ENSG00000257343	RP11-641A6.8	0	0											
ENSG00000257342	RP11-571M6.7	0	0											
ENSG00000257341	AL928654.7	60	2.927767484											
ENSG00000215867	KRT18P57	0	0											
ENSG00000257346	RP11-386G11.8	0	0											
ENSG00000257345	RP11-511B23.1	0	0											
ENSG00000234337	RP11-297L17.6	113	14.47517791											
ENSG00000215861	WI2-1896O14.1	3	0.304428333											
ENSG00000119509	INVS	142	1.783058413											
ENSG00000228949	UGT1A12P	0	0											
ENSG00000256699	RP11-669N7.3	0	0											
ENSG00000256694	RP11-598F7.5	0	0											
ENSG00000256695	RP1-166H1.2	0	0											
ENSG00000228943	RP5-1053E7.2	0	0											
ENSG00000267733	RP11-64C12.3	1	0.026867812											
ENSG00000228940	RP11-348A7.1	0	0											
ENSG00000165309	ARMC3	8	0.084869483											
ENSG00000165304	MELK	501	8.342527401											
ENSG00000165300	SLITRK5	4	0.017942719											
ENSG00000101608	MYL12A	2530	37.32316202											
ENSG00000101605	MYOM1	1	0.00978096											
ENSG00000170100	ZNF778	87	0.456078592											
ENSG00000237026	RP11-328P23.2	0	0											
ENSG00000187900	OR5H7P	0	0											
ENSG00000198791	CNOT7	1056	7.423059494											
ENSG00000198792	TMEM184B	1249	6.799907093											
ENSG00000198793	MTOR	1407	9.701641977											
ENSG00000198794	SCAMP5	57	0.361997367											
ENSG00000198795	ZNF521	1	0.00914533											
ENSG00000198796	ALPK2	1	0.006634608											
ENSG00000198797	BRINP2	760	12.27947634											
ENSG00000231426	RP5-899B16.1	0	0											
ENSG00000197776	KLHDC1	23	0.517532119											
ENSG00000231424	RP1-45C12.1	2	0.455102402											
ENSG00000175550	DRAP1	528	11.45352225											
ENSG00000231422	LINC01516	0	0											
ENSG00000175556	LONRF3	47	0.588132755											
ENSG00000197771	MCMBP	582	7.032814938											
ENSG00000231421	AC006050.2	0	0											
ENSG00000279848	CTA-992D9.9	0	0											
ENSG00000279849	AL023875.1	0	0											
ENSG00000161682	FAM171A2	214	4.423226499											
ENSG00000240173	RN7SL771P	0	0											
ENSG00000179420	OR6W1P	0	0											
ENSG00000279840	RP1-228P16.9	0	0											
ENSG00000279841	RP11-274A11.4	0	0											
ENSG00000279842	RP11-305A4.2	0	0											
ENSG00000279844	RP11-20F18.1	0	0											
ENSG00000279845	RP11-6L6.4	1	0.203238275											
ENSG00000279846	RP11-20G13.4	0	0											
ENSG00000279847	C8orf87	0	0											
ENSG00000076321	KLHL20	359	5.462036468											
ENSG00000183864	TOB2	1118	19.826832											
ENSG00000183862	CNGA2	2	0.066804022											
ENSG00000167680	SEMA6B	12	0.232392716											
ENSG00000124217	MOCS3	586	10.86441783											
ENSG00000124214	STAU1	5359	65.14000813											
ENSG00000124215	CDH26	21	0.224321262											
ENSG00000124212	PTGIS	0	0											
ENSG00000167685	ZNF444	537	3.986446874											
ENSG00000247595	SPTY2D1-AS1	5	0.174347784											
ENSG00000161970	RPL26	3247	56.09082097											
ENSG00000175073	VCPIP1	500	4.760868964											
ENSG00000161973	CCDC42	0	0											
ENSG00000255279	RP11-375D13.4	0	0											
ENSG00000255275	RP13-279N23.2	5	0.108343839											
ENSG00000255274	TMPRSS4-AS1	0	0											
ENSG00000255277	ABCC6P2	0	0											
ENSG00000255276	RRM1-AS1	0	0											
ENSG00000255271	RP4-594L9.2	0	0											
ENSG00000255270	NAV2-IT1	0	0											
ENSG00000255273	AF238378.7	0	0											
ENSG00000255272	RP11-646J21.6	0	0											
ENSG00000239670	RP4-803A2.2	0	0											
ENSG00000160087	UBE2J2	420	3.0511372											
ENSG00000036054	TBC1D23	399	3.904417858											
ENSG00000104903	LYL1	1	0.024043929											
ENSG00000228349	RPS26P4	0	0											
ENSG00000002587	HS3ST1	1	0.010933853											
ENSG00000002586	CD99	1804	26.36650586											
ENSG00000231013	AC013275.2	0	0											
ENSG00000263590	RP11-403I13.7	0	0											
ENSG00000237868	AC097533.1	7	1.383458942											
ENSG00000177954	RPS27	122	7.756316932											
ENSG00000177951	BET1L	339	3.921724238											
ENSG00000280059	RP11-401I19.2	0	0											
ENSG00000280058	RP1-131F15.3	0	0											
ENSG00000198242	RPL23A	798	18.86682622											
ENSG00000280056	RP11-562F9.3	0	0											
ENSG00000237862	RP1-63G5.7	0	0											
ENSG00000237863	RP6-24A23.3	0	0											
ENSG00000198246	SLC29A3	61	1.629855477											
ENSG00000223012	RN7SKP264	0	0											
ENSG00000280051	RP11-206B11.1	0	0											
ENSG00000280050	AC008622.1	0	0											
ENSG00000135917	SLC19A3	0	0											
ENSG00000135916	ITM2C	214	3.532411049											
ENSG00000135914	HTR2B	1	0.04216787											
ENSG00000135913	USP37	473	3.11727659											
ENSG00000135912	TTLL4	342	1.777994457											
ENSG00000092148	HECTD1	3724	18.58468581											
ENSG00000034693	PEX3	166	5.636457689											
ENSG00000135919	SERPINE2	25	0.197667727											
ENSG00000230487	PSMG3-AS1	148	1.09687976											
ENSG00000176396	EID2	168	8.028150751											
ENSG00000230484	OR51A10P	0	0											
ENSG00000176390	CRLF3	152	2.555788698											
ENSG00000230482	ATP5G2P3	0	0											
ENSG00000230481	IGKV1OR22-5	0	0											
ENSG00000176393	RNPEP	1615	24.6031794											
ENSG00000176399	DMRTA1	1	0.017006471											
ENSG00000230489	VAV3-AS1	0	0											
ENSG00000243900	RN7SL320P	0	0											
ENSG00000243902	ELFN2	1	0.038751651											
ENSG00000243903	RP11-285B24.1	0	0											
ENSG00000243904	RPSAP5	2	0.214165836											
ENSG00000083635	NUFIP1	111	3.009116231											
ENSG00000248029	CTD-2313F11.3	0	0											
ENSG00000248027	CTD-2383M3.1	8	0.406053832											
ENSG00000063515	GSC2	0	0											
ENSG00000279713	CTD-3035K23.3	1	0.048518973											
ENSG00000247624	CPEB2-AS1	1	0.030660096											
ENSG00000247627	MTND4P12	632	43.44831383											
ENSG00000167531	LALBA	0	0											
ENSG00000167536	DHRS13	353	6.739980457											
ENSG00000167535	CACNB3	754	4.975080788											
ENSG00000236472	AC002401.1	1	0.202369735											
ENSG00000188886	ASTL	6	0.3030778											
ENSG00000279716	AC006128.2	193	10.99960678											
ENSG00000188883	KLRG2	734	20.77254487											
ENSG00000279717	LLNLF-158E9.1	0	0											
ENSG00000241506	PSMC1P1	2176	156.0540106											
ENSG00000241505	RP11-161I10.1	0	0											
ENSG00000094796	KRT31	0	0											
ENSG00000279719	RP11-81A1.7	0	0											
ENSG00000226453	RP11-379B8.1	0	0											
ENSG00000239249	RN7SL757P	0	0											
ENSG00000237289	CKMT1B	60	0.742854946											
ENSG00000239739	RP11-373E16.4	0	0											
ENSG00000237285	HNRNPA1P2	0	0											
ENSG00000237286	AC004906.3	0	0											
ENSG00000237280	RP11-96C23.9	0	0											
ENSG00000237281	CATIP-AS2	0	0											
ENSG00000237282	LINC00851	0	0											
ENSG00000237283	RP11-316I3.1	0	0											
ENSG00000272254	RP11-531A24.7	0	0											
ENSG00000272255	CTD-3224K15.3	0	0											
ENSG00000272256	RP11-489E7.4	2	0.266651548											
ENSG00000272250	RP11-346C20.4	1	0.183901041											
ENSG00000272259	RP11-305P22.9	0	0											
ENSG00000101327	PDYN	0	0											
ENSG00000271781	CTD-2589H19.6	10	1.196729451											
ENSG00000271780	RP11-1017G21.5	22	1.930161319											
ENSG00000271787	RP11-254F7.3	4	0.848980265											
ENSG00000271784	RP1-28H20.3	0	0											
ENSG00000200475	RN7SKP162	0	0											
ENSG00000049192	ADAMTS6	2	0.013825223											
ENSG00000271789	RP5-1112D6.7	9	0.615162045											
ENSG00000271788	CTD-2201E18.5	5	0.583667367											
ENSG00000274363	RP11-104O19.4	0	0											
ENSG00000200472	RN7SKP44	0	0											
ENSG00000101323	HAO1	0	0											
ENSG00000237136	C4orf51	0	0											
ENSG00000177042	TMEM80	108	1.491219697											
ENSG00000237135	DDX10P1	2	0.097942369											
ENSG00000177047	IFNW1	0	0											
ENSG00000129566	TEP1	809	4.492526205											
ENSG00000177045	SIX5	480	5.343906595											
ENSG00000272789	RP11-286H15.1	0	0											
ENSG00000272787	KB-226F1.2	4	0.571108896											
ENSG00000272784	RP11-335L23.5	0	0											
ENSG00000154252	GAL3ST2	25	1.72750051											
ENSG00000272783	RP13-1016M1.2	0	0											
ENSG00000237138	HUNK-AS1	0	0											
ENSG00000237139	RP11-137L10.5	1	0.333482521											
ENSG00000277550	RP5-1057B20.3	0	0											
ENSG00000141232	TOB1	3191	65.88361608											
ENSG00000277556	OR13C5	0	0											
ENSG00000277558	RP3-468O1.6	0	0											
ENSG00000277559	RP11-434E6.4	23	1.493317988											
ENSG00000172671	ZFAND4	34	0.319588885											
ENSG00000112337	SLC17A2	0	0											
ENSG00000274098	RN7SL787P	0	0											
ENSG00000274099	ABCB10P1	0	0											
ENSG00000279068	CH17-140K24.5	0	0											
ENSG00000223761	RP11-57C13.4	0	0											
ENSG00000223764	RP11-54O7.3	186	2.853292826											
ENSG00000223765	RP1-288M22.2	0	0											
ENSG00000279062	CH507-216K13.1	0	0											
ENSG00000279063	CTD-2537I9.15	0	0											
ENSG00000223768	LINC00205	38	2.586139705											
ENSG00000279061	RP3-332O11.2	0	0											
ENSG00000236427	RP11-107M16.2	0	0											
ENSG00000236426	RP11-79M19.2	0	0											
ENSG00000236425	AC090018.1	0	0											
ENSG00000279065	RP11-264J4.10	0	0											
ENSG00000136750	GAD2	0	0											
ENSG00000136754	ABI1	820	9.15826053											
ENSG00000136758	YME1L1	2547	22.46665262											
ENSG00000270781	RP11-501C14.9	3	0.943626695											
ENSG00000270782	RP11-500K19.2	0	0											
ENSG00000232508	MRPL45P1	0	0											
ENSG00000232500	AP005273.1	0	0											
ENSG00000232502	AC073464.7	0	0											
ENSG00000232503	CYCSP8	0	0											
ENSG00000232504	ST3GAL5-AS1	1	0.120956623											
ENSG00000232505	XXbac-BPG308J9.3	0	0											
ENSG00000249087	ZNF436-AS1	76	1.433176332											
ENSG00000116014	KISS1R	6	0.200341375											
ENSG00000116017	ARID3A	98	1.051358709											
ENSG00000116016	EPAS1	308	2.542007493											
ENSG00000249082	C5orf66-AS1	6	0.430278634											
ENSG00000249081	OR5M14P	0	0											
ENSG00000234034	AP000959.2	0	0											
ENSG00000250567	CTD-2154H6.1	0	0											
ENSG00000234033	RAC1P8	0	0											
ENSG00000146676	PURB	2737	28.56968036											
ENSG00000242860	RN7SL180P	0	0											
ENSG00000197674	OR51C1P	0	0											
ENSG00000234030	TMEM97P1	0	0											
ENSG00000187243	MAGED4B	116	1.017153401											
ENSG00000120440	TTLL2	6	0.110607166											
ENSG00000249156	RP11-432M8.9	0	0											
ENSG00000250560	RP11-598G2.1	0	0											
ENSG00000274459	Metazoa_SRP	0	0											
ENSG00000180211	RP1-278E11.3	62	13.97426552											
ENSG00000271259	RP11-1109F11.5	6	1.051792217											
ENSG00000187244	BCAM	2891	27.00580661											
ENSG00000276208	RP11-168J5.2	0	0											
ENSG00000271254	AC240274.1	590	9.341438049											
ENSG00000276205	RP11-529O20.2	0	0											
ENSG00000276204	RP11-203I2.2	0	0											
ENSG00000276203	ANKRD20A3	3	0.023728624											
ENSG00000276202	Metazoa_SRP	0	0											
ENSG00000223867	AC098592.7	0	0											
ENSG00000276200	RN7SL820P	0	0											
ENSG00000186118	TEX38	1	0.030829764											
ENSG00000270124	RP11-118F19.1	1	0.15758575											
ENSG00000270127	RP11-526I2.5	41	1.624636455											
ENSG00000270120	RP11-327F22.6	0	0											
ENSG00000174099	MSRB3	16	0.101207822											
ENSG00000278338	VWA8-AS1	1	0.038173735											
ENSG00000224233	OR2J4P	0	0											
ENSG00000235199	CYP2C58P	0	0											
ENSG00000224235	RP5-1027O11.1	0	0											
ENSG00000187969	ZCCHC13	1	0.11248104											
ENSG00000137409	MTCH1	2435	44.83749719											
ENSG00000224236	MRRFP1	6	0.339085252											
ENSG00000224239	AC090044.2	0	0											
ENSG00000278330	RP11-4B16.4	1	0.024191325											
ENSG00000235191	NUCB1-AS1	0	0											
ENSG00000235196	RP1-3E10.2	0	0											
ENSG00000235197	ZNF33AP1	0	0											
ENSG00000264655	CTD-2267D19.4	0	0											
ENSG00000275576	RP5-836N17.4	1	0.206337769											
ENSG00000275572	GRIFIN	0	0											
ENSG00000060138	YBX3	1798	11.80114336											
ENSG00000275578	RP11-357E16.1	0	0											
ENSG00000281593	GS1-114I9.3	8	1.137072667											
ENSG00000044012	GUCA2B	0	0											
ENSG00000231857	MORF4L1P5	0	0											
ENSG00000282998	RP11-152D8.1	0	0											
ENSG00000175946	KLHL38	24	1.146300032											
ENSG00000231852	CYP21A2	1	0.010400729											
ENSG00000231851	UTAT33	3	0.299611429											
ENSG00000130751	NPAS1	53	0.861780756											
ENSG00000180818	HOXC10	505	10.17580108											
ENSG00000231859	AC007875.2	0	0											
ENSG00000130755	GMFG	1	0.028246059											
ENSG00000233437	RP13-580B18.1	0	0											
ENSG00000186115	CYP4F2	1	0.018043253											
ENSG00000206150	RNASE13	0	0											
ENSG00000110756	HPS5	271	2.64612838											
ENSG00000248840	RP11-357G3.2	2	0.334492225											
ENSG00000248842	CTB-1H10.1	0	0											
ENSG00000248843	RP11-357G3.1	0	0											
ENSG00000248844	RP11-626H12.3	0	0											
ENSG00000248846	CTD-2016O11.1	1	0.168521416											
ENSG00000248847	RP11-26C10.1	0	0											
ENSG00000248848	PPBPP2	0	0											
ENSG00000134278	SPIRE1	677	4.749746188											
ENSG00000230813	RP11-690C23.5	0	0											
ENSG00000230814	USP9YP24	0	0											
ENSG00000230815	RP11-49O14.3	0	0											
ENSG00000064726	BTBD1	1005	17.80285792											
ENSG00000230818	MTND2P16	0	0											
ENSG00000230819	ZNF736P5Y	0	0											
ENSG00000217791	ASS1P9	1	0.076625434											
ENSG00000072506	HSD17B10	769	38.92911834											
ENSG00000181135	ZNF707	251	1.133364591											
ENSG00000134183	GNAT2	0	0											
ENSG00000069712	KIAA1107	34	0.706448564											
ENSG00000270587	RP11-51F16.9	1	0.2293197											
ENSG00000134186	PRPF38B	838	9.115180411											
ENSG00000134184	GSTM1	0	0											
ENSG00000262712	RP11-295D4.1	14	0.680017274											
ENSG00000262714	RP11-44F14.8	6	0.265157702											
ENSG00000248211	TRPC7-AS1	1	0.205889209											
ENSG00000248210	RP11-24I21.1	0	0											
ENSG00000248213	CICP16	14	0.471153099											
ENSG00000037042	TUBG2	112	3.049309014											
ENSG00000260622	RP11-690I21.3	1	0.190561441											
ENSG00000260620	RP11-883G14.4	0	0											
ENSG00000260621	RP11-413H22.2	0	0											
ENSG00000260626	RP11-23E10.3	0	0											
ENSG00000078487	ZCWPW1	104	1.474708964											
ENSG00000260625	RP11-452L6.7	3	0.433636084											
ENSG00000248215	RP11-722M1.1	0	0											
ENSG00000260628	RP11-1166P10.1	1	0.030404185											
ENSG00000260629	BGLT3	0	0											
ENSG00000042753	AP2S1	837	20.60720574											
ENSG00000196096	AC079610.2	1	0.054840206											
ENSG00000248216	KCTD9P5	0	0											
ENSG00000105855	ITGB8	7	0.037308683											
ENSG00000105854	PON2	742	7.322930407											
ENSG00000111481	COPZ1	1015	11.95236792											
ENSG00000105856	HBP1	691	5.423112544											
ENSG00000105851	PIK3CG	1	0.010578469											
ENSG00000079689	SCGN	102	3.845413958											
ENSG00000105852	PON3	1	0.01743539											
ENSG00000142252	GEMIN7	219	5.2089538											
ENSG00000012174	MBTPS2	847	8.655151023											
ENSG00000131002	TXLNGY	0	0											
ENSG00000012171	SEMA3B	224	1.181007539											
ENSG00000220447	RP1-276J11.2	0	0											
ENSG00000131007	TTTY9B	0	0											
ENSG00000135587	SMPD2	178	7.059229004											
ENSG00000084710	EFR3B	283	2.181438459											
ENSG00000257022	RP11-729I10.2	0	0											
ENSG00000214110	LDHAP4	21	1.991918865											
ENSG00000196098	OR5K4	1	0.09804248											
ENSG00000071082	RPL31	1823	20.15822525											
ENSG00000124490	CRISP2	0	0											
ENSG00000139780	METTL21C	0	0											
ENSG00000180660	MAB21L1	1	0.031277753											
ENSG00000180663	VN1R3	0	0											
ENSG00000180662	RPL21P8	0	0											
ENSG00000180667	YOD1	275	3.896565682											
ENSG00000188419	CHM	258	2.243782271											
ENSG00000135632	SMYD5	396	7.83927273											
ENSG00000135631	RAB11FIP5	262	2.648960292											
ENSG00000135636	DYSF	40	0.382257513											
ENSG00000135637	CCDC142	83	0.785172581											
ENSG00000147155	EBP	687	15.47345665											
ENSG00000112539	C6orf118	1	0.033740305											
ENSG00000263443	RP11-973F15.2	0	0											
ENSG00000114503	NCBP2	748	4.261269559											
ENSG00000258629	CTD-2014B16.1	0	0											
ENSG00000184992	BRI3BP	2031	28.92071006											
ENSG00000116670	MAD2L2	397	6.508835427											
ENSG00000259767	RP11-90B9.2	4	0.834020261											
ENSG00000224296	MRPL49P1	0	0											
ENSG00000115677	HDLBP	7981	27.07771254											
ENSG00000259763	RP11-327J17.1	0	0											
ENSG00000259762	RP11-158M2.4	1	0.191718696											
ENSG00000259761	RP11-138H10.2	0	0											
ENSG00000259760	RP11-20G13.2	0	0											
ENSG00000259769	RP11-1360M22.2	0	0											
ENSG00000259768	RP5-991G20.1	61	1.192601808											
ENSG00000261971	MMP25-AS1	31	0.349653699											
ENSG00000250038	RP11-180C1.1	0	0											
ENSG00000258624	SERPINE4P	0	0											
ENSG00000261978	CTD-2529O21.2	0	0											
ENSG00000267593	RP11-108P20.4	0	0											
ENSG00000116852	KIF21B	30	0.205896793											
ENSG00000226284	ARPC3P1	13	2.308901746											
ENSG00000267594	CYP4F24P	0	0											
ENSG00000267597	RPIAP1	0	0											
ENSG00000263196	MTND3P13	0	0											
ENSG00000263199	RP11-372K20.1	0	0											
ENSG00000219747	RP1-292B18.1	9	2.103702303											
ENSG00000162591	MEGF6	664	7.019283158											
ENSG00000125255	SLC10A2	0	0											
ENSG00000227258	SMIM2-AS1	2	0.055847374											
ENSG00000227256	MIS18A-AS1	0	0											
ENSG00000227257	RP11-330M2.3	0	0											
ENSG00000227254	VDAC1P12	0	0											
ENSG00000227255	CDRT15P2	0	0											
ENSG00000227252	AC105760.2	17	0.68743692											
ENSG00000227253	RP11-166N17.1	2	0.138697875											
ENSG00000267734	RP4-604K5.3	0	0											
ENSG00000105143	SLC1A6	5	0.04282586											
ENSG00000105141	CASP14	18	0.436028369											
ENSG00000105146	AURKC	7	0.174113724											
ENSG00000267630	AC005758.1	0	0											
ENSG00000267631	CGB1	0	0											
ENSG00000267632	RP11-400F19.18	9	0.490783083											
ENSG00000267633	CTB-5E10.3	2	0.130029258											
ENSG00000267634	RPL7L1P5	0	0											
ENSG00000267636	AC008992.1	0	0											
ENSG00000267637	RP11-619I22.1	0	0											
ENSG00000186543	CROCCP5	0	0											
ENSG00000235949	AC061961.2	0	0											
ENSG00000211798	TRAV18	0	0											
ENSG00000235940	MTND1P21	1	0.332312407											
ENSG00000235943	TMEM212-IT1	0	0											
ENSG00000235942	LCE6A	0	0											
ENSG00000146205	ANO7	126	0.965970287											
ENSG00000235944	ZNF815P	31	0.779039951											
ENSG00000235947	EGOT	0	0											
ENSG00000235946	LL0XNC01-240C2.1	2	0.381698789											
ENSG00000164418	GRIK2	3	0.030228995											
ENSG00000242509	RN7SL156P	0	0											
ENSG00000164411	GJB7	1	0.017154326											
ENSG00000164414	SLC35A1	600	13.70303283											
