gene_id	gene_name	HBL-100_count	HBL-100_FPKM											
ENSG00000280881	RP11-275E15.2	0	0											
ENSG00000225814	GRPEL2P2	0	0											
ENSG00000225815	AC092669.6	0	0											
ENSG00000225813	AC009299.4	0	0											
ENSG00000225811	RP11-547I7.1	0	0											
ENSG00000225818	AC118653.2	0	0											
ENSG00000225819	AC013269.3	0	0											
ENSG00000229306	AP001464.4	0	0											
ENSG00000229307	LINC00459	0	0											
ENSG00000229305	RP11-431K24.2	0	0											
ENSG00000229302	TAF9P2	0	0											
ENSG00000229303	PPIAP25	0	0											
ENSG00000229301	RP5-905H7.8	0	0											
ENSG00000229308	AC010084.1	0	0											
ENSG00000229309	RP11-452B18.2	0	0											
ENSG00000278071	RP11-736N17.10	0	0											
ENSG00000240174	RP11-851M3.1	0	0											
ENSG00000278077	RP11-157L3.10	0	0											
ENSG00000278075	RP11-248M19.1	0	0											
ENSG00000055070	SZRD1	1571	14.80851856											
ENSG00000227411	BAATP1	0	0											
ENSG00000155719	OTOA	0	0											
ENSG00000227413	RP5-1042K10.12	0	0											
ENSG00000227416	RP11-109P14.2	0	0											
ENSG00000227417	RP11-397P13.6	0	0											
ENSG00000162337	LRP5	894	10.60015748											
ENSG00000155714	PDZD9	0	0											
ENSG00000182010	RTKN2	90	0.875027001											
ENSG00000182013	PNMAL1	4	0.051861618											
ENSG00000244748	RN7SL153P	0	0											
ENSG00000186704	DTX2P1	40	2.340347265											
ENSG00000251776	RN7SKP242	0	0											
ENSG00000245293	RP11-286E11.1	0	0											
ENSG00000164659	KIAA1324L	6	0.048510823											
ENSG00000242748	RPL23AP81	1	0.204698721											
ENSG00000242747	RP11-30K9.1	1	0.200828367											
ENSG00000164651	SP8	3	0.056200438											
ENSG00000242741	RP11-20B7.1	0	0											
ENSG00000164654	MIOS	146	1.165456635											
ENSG00000114978	MOB1A	3986	47.0634144											
ENSG00000252233	RN7SKP253	0	0											
ENSG00000256925	ADGRA1-AS1	0	0											
ENSG00000161021	MAML1	1220	9.950768702											
ENSG00000256922	RP11-749H20.1	0	0											
ENSG00000256923	RP11-449P1.1	0	0											
ENSG00000226331	RPL23AP28	0	0											
ENSG00000261608	SLC25A1P4	0	0											
ENSG00000256928	RP11-809N8.2	0	0											
ENSG00000254694	RP11-50B3.4	3	0.791929373											
ENSG00000254695	RP11-396O20.1	0	0											
ENSG00000254696	RP11-72M10.7	0	0											
ENSG00000254697	COPS8P3	0	0											
ENSG00000254690	GS1-393G12.12	0	0											
ENSG00000254691	RP11-91P24.5	0	0											
ENSG00000266929	RP11-400F19.8	0	0											
ENSG00000266928	CTB-70G10.1	0	0											
ENSG00000266925	RP11-434D2.7	0	0											
ENSG00000266924	RP11-154H12.2	0	0											
ENSG00000254698	RP11-659G9.3	0	0											
ENSG00000254699	RP11-12D16.2	0	0											
ENSG00000266921	RP11-15A1.7	8	0.161730115											
ENSG00000266920	ACTBP9	1	0.086982987											
ENSG00000257343	RP11-641A6.8	0	0											
ENSG00000257342	RP11-571M6.7	0	0											
ENSG00000257341	AL928654.7	9	0.443263311											
ENSG00000215867	KRT18P57	0	0											
ENSG00000257346	RP11-386G11.8	1	0.096365224											
ENSG00000257345	RP11-511B23.1	0	0											
ENSG00000234337	RP11-297L17.6	75	9.696632751											
ENSG00000215861	WI2-1896O14.1	47	4.813000324											
ENSG00000119509	INVS	400	5.069300031											
ENSG00000228949	UGT1A12P	0	0											
ENSG00000256699	RP11-669N7.3	0	0											
ENSG00000256694	RP11-598F7.5	0	0											
ENSG00000256695	RP1-166H1.2	0	0											
ENSG00000228943	RP5-1053E7.2	0	0											
ENSG00000267733	RP11-64C12.3	8	0.216833056											
ENSG00000228940	RP11-348A7.1	0	0											
ENSG00000165309	ARMC3	0	0											
ENSG00000165304	MELK	1238	20.80616741											
ENSG00000165300	SLITRK5	2	0.009054833											
ENSG00000101608	MYL12A	1848	27.51515759											
ENSG00000101605	MYOM1	10	0.098669901											
ENSG00000170100	ZNF778	42	0.222221243											
ENSG00000237026	RP11-328P23.2	1	0.306391995											
ENSG00000187900	OR5H7P	0	0											
ENSG00000198791	CNOT7	910	6.456132916											
ENSG00000198792	TMEM184B	2334	12.82487585											
ENSG00000198793	MTOR	1330	9.25581912											
ENSG00000198794	SCAMP5	83	0.532010474											
ENSG00000198795	ZNF521	2	0.018451538											
ENSG00000198796	ALPK2	645	4.317038812											
ENSG00000198797	BRINP2	0	0											
ENSG00000231426	RP5-899B16.1	0	0											
ENSG00000197776	KLHDC1	10	0.227102603											
ENSG00000231424	RP1-45C12.1	0	0											
ENSG00000175550	DRAP1	2328	50.96830635											
ENSG00000231422	LINC01516	0	0											
ENSG00000175556	LONRF3	4	0.050517946											
ENSG00000197771	MCMBP	1298	15.83044296											
ENSG00000231421	AC006050.2	0	0											
ENSG00000279848	CTA-992D9.9	0	0											
ENSG00000279849	AL023875.1	0	0											
ENSG00000161682	FAM171A2	556	11.59876169											
ENSG00000240173	RN7SL771P	0	0											
ENSG00000179420	OR6W1P	0	0											
ENSG00000279840	RP1-228P16.9	0	0											
ENSG00000279841	RP11-274A11.4	6	0.31053759											
ENSG00000279842	RP11-305A4.2	0	0											
ENSG00000279844	RP11-20F18.1	0	0											
ENSG00000279845	RP11-6L6.4	0	0											
ENSG00000279846	RP11-20G13.4	0	0											
ENSG00000279847	C8orf87	0	0											
ENSG00000076321	KLHL20	275	4.222844434											
ENSG00000183864	TOB2	843	15.08867954											
ENSG00000183862	CNGA2	0	0											
ENSG00000167680	SEMA6B	1525	29.80853204											
ENSG00000124217	MOCS3	232	4.341201925											
ENSG00000124214	STAU1	1599	19.61663096											
ENSG00000124215	CDH26	0	0											
ENSG00000124212	PTGIS	0	0											
ENSG00000167685	ZNF444	238	1.783204942											
ENSG00000247595	SPTY2D1-AS1	0	0											
ENSG00000161970	RPL26	4428	77.2020937											
ENSG00000175073	VCPIP1	305	2.931080268											
ENSG00000161973	CCDC42	0	0											
ENSG00000255279	RP11-375D13.4	0	0											
ENSG00000255275	RP13-279N23.2	7	0.153089195											
ENSG00000255274	TMPRSS4-AS1	0	0											
ENSG00000255277	ABCC6P2	4	0.294882917											
ENSG00000255276	RRM1-AS1	0	0											
ENSG00000255271	RP4-594L9.2	0	0											
ENSG00000255270	NAV2-IT1	0	0											
ENSG00000255273	AF238378.7	0	0											
ENSG00000255272	RP11-646J21.6	0	0											
ENSG00000239670	RP4-803A2.2	1	0.11076976											
ENSG00000160087	UBE2J2	405	2.969473985											
ENSG00000036054	TBC1D23	424	4.187571529											
ENSG00000104903	LYL1	32	0.776173162											
ENSG00000228349	RPS26P4	0	0											
ENSG00000002587	HS3ST1	25	0.275756623											
ENSG00000002586	CD99	1519	22.40711011											
ENSG00000231013	AC013275.2	0	0											
ENSG00000263590	RP11-403I13.7	0	0											
ENSG00000237868	AC097533.1	9	1.795262681											
ENSG00000177954	RPS27	106	6.801657395											
ENSG00000177951	BET1L	899	10.49660602											
ENSG00000280059	RP11-401I19.2	0	0											
ENSG00000280058	RP1-131F15.3	0	0											
ENSG00000198242	RPL23A	658	15.70122968											
ENSG00000280056	RP11-562F9.3	0	0											
ENSG00000237862	RP1-63G5.7	2	0.097243832											
ENSG00000237863	RP6-24A23.3	0	0											
ENSG00000198246	SLC29A3	37	0.997772693											
ENSG00000223012	RN7SKP264	0	0											
ENSG00000280051	RP11-206B11.1	0	0											
ENSG00000280050	AC008622.1	0	0											
ENSG00000135917	SLC19A3	2	0.021908293											
ENSG00000135916	ITM2C	1267	21.10790477											
ENSG00000135914	HTR2B	8	0.340310117											
ENSG00000135913	USP37	462	3.073041315											
ENSG00000135912	TTLL4	362	1.899437336											
ENSG00000092148	HECTD1	1967	9.907450511											
ENSG00000034693	PEX3	154	5.277506095											
ENSG00000135919	SERPINE2	2327	18.56929751											
ENSG00000230487	PSMG3-AS1	58	0.433848294											
ENSG00000176396	EID2	387	18.66504711											
ENSG00000230484	OR51A10P	2	0.203931836											
ENSG00000176390	CRLF3	316	5.362666959											
ENSG00000230482	ATP5G2P3	0	0											
ENSG00000230481	IGKV1OR22-5	0	0											
ENSG00000176393	RNPEP	1252	19.25018517											
ENSG00000176399	DMRTA1	122	2.093076119											
ENSG00000230489	VAV3-AS1	0	0											
ENSG00000243900	RN7SL320P	0	0											
ENSG00000243902	ELFN2	16	0.625479969											
ENSG00000243903	RP11-285B24.1	0	0											
ENSG00000243904	RPSAP5	9	0.972772426											
ENSG00000083635	NUFIP1	113	3.091755464											
ENSG00000248029	CTD-2313F11.3	0	0											
ENSG00000248027	CTD-2383M3.1	3	0.153714977											
ENSG00000063515	GSC2	0	0											
ENSG00000279713	CTD-3035K23.3	5	0.244755412											
ENSG00000247624	CPEB2-AS1	5	0.15466577											
ENSG00000247627	MTND4P12	24	1.66522118											
ENSG00000167531	LALBA	0	0											
ENSG00000167536	DHRS13	91	1.753627399											
ENSG00000167535	CACNB3	407	2.710413301											
ENSG00000236472	AC002401.1	1	0.20426133											
ENSG00000188886	ASTL	0	0											
ENSG00000279716	AC006128.2	18	1.035374578											
ENSG00000188883	KLRG2	0	0											
ENSG00000279717	LLNLF-158E9.1	0	0											
ENSG00000241506	PSMC1P1	1073	77.66542409											
ENSG00000241505	RP11-161I10.1	0	0											
ENSG00000094796	KRT31	0	0											
ENSG00000279719	RP11-81A1.7	0	0											
ENSG00000226453	RP11-379B8.1	0	0											
ENSG00000239249	RN7SL757P	0	0											
ENSG00000237289	CKMT1B	1	0.012502525											
ENSG00000239739	RP11-373E16.4	16	5.812445032											
ENSG00000237285	HNRNPA1P2	1	0.099577398											
ENSG00000237286	AC004906.3	0	0											
ENSG00000237280	RP11-96C23.9	0	0											
ENSG00000237281	CATIP-AS2	0	0											
ENSG00000237282	LINC00851	0	0											
ENSG00000237283	RP11-316I3.1	0	0											
ENSG00000272254	RP11-531A24.7	0	0											
ENSG00000272255	CTD-3224K15.3	0	0											
ENSG00000272256	RP11-489E7.4	0	0											
ENSG00000272250	RP11-346C20.4	0	0											
ENSG00000272259	RP11-305P22.9	0	0											
ENSG00000101327	PDYN	0	0											
ENSG00000271781	CTD-2589H19.6	8	0.966291431											
ENSG00000271780	RP11-1017G21.5	31	2.745001167											
ENSG00000271787	RP11-254F7.3	0	0											
ENSG00000271784	RP1-28H20.3	4	0.60565493											
ENSG00000200475	RN7SKP162	0	0											
ENSG00000049192	ADAMTS6	70	0.488392657											
ENSG00000271789	RP5-1112D6.7	0	0											
ENSG00000271788	CTD-2201E18.5	2	0.235615451											
ENSG00000274363	RP11-104O19.4	14	1.807552585											
ENSG00000200472	RN7SKP44	0	0											
ENSG00000101323	HAO1	0	0											
ENSG00000237136	C4orf51	1	0.052437906											
ENSG00000177042	TMEM80	113	1.574738927											
ENSG00000237135	DDX10P1	0	0											
ENSG00000177047	IFNW1	0	0											
ENSG00000129566	TEP1	418	2.34277671											
ENSG00000177045	SIX5	476	5.348553965											
ENSG00000272789	RP11-286H15.1	0	0											
ENSG00000272787	KB-226F1.2	9	1.297029901											
ENSG00000272784	RP11-335L23.5	0	0											
ENSG00000154252	GAL3ST2	14	0.976342272											
ENSG00000272783	RP13-1016M1.2	1	0.330776133											
ENSG00000237138	HUNK-AS1	0	0											
ENSG00000237139	RP11-137L10.5	0	0											
ENSG00000277550	RP5-1057B20.3	0	0											
ENSG00000141232	TOB1	259	5.397135229											
ENSG00000277556	OR13C5	0	0											
ENSG00000277558	RP3-468O1.6	0	0											
ENSG00000277559	RP11-434E6.4	29	1.900392406											
ENSG00000172671	ZFAND4	132	1.252284933											
ENSG00000112337	SLC17A2	0	0											
ENSG00000274098	RN7SL787P	0	0											
ENSG00000274099	ABCB10P1	0	0											
ENSG00000279068	CH17-140K24.5	0	0											
ENSG00000223761	RP11-57C13.4	0	0											
ENSG00000223764	RP11-54O7.3	21	0.32513946											
ENSG00000223765	RP1-288M22.2	0	0											
ENSG00000279062	CH507-216K13.1	0	0											
ENSG00000279063	CTD-2537I9.15	4	0.768950223											
ENSG00000223768	LINC00205	38	2.610138715											
ENSG00000279061	RP3-332O11.2	0	0											
ENSG00000236427	RP11-107M16.2	0	0											
ENSG00000236426	RP11-79M19.2	0	0											
ENSG00000236425	AC090018.1	0	0											
ENSG00000279065	RP11-264J4.10	0	0											
ENSG00000136750	GAD2	1	0.012581509											
ENSG00000136754	ABI1	419	4.723077443											
ENSG00000136758	YME1L1	1655	14.73395285											
ENSG00000270781	RP11-501C14.9	2	0.634830998											
ENSG00000270782	RP11-500K19.2	0	0											
ENSG00000232508	MRPL45P1	0	0											
ENSG00000232500	AP005273.1	0	0											
ENSG00000232502	AC073464.7	0	0											
ENSG00000232503	CYCSP8	0	0											
ENSG00000232504	ST3GAL5-AS1	1	0.122087232											
ENSG00000232505	XXbac-BPG308J9.3	0	0											
ENSG00000249087	ZNF436-AS1	8	0.152258271											
ENSG00000116014	KISS1R	0	0											
ENSG00000116017	ARID3A	190	2.057264938											
ENSG00000116016	EPAS1	1822	15.17703296											
ENSG00000249082	C5orf66-AS1	0	0											
ENSG00000249081	OR5M14P	0	0											
ENSG00000234034	AP000959.2	0	0											
ENSG00000250567	CTD-2154H6.1	0	0											
ENSG00000234033	RAC1P8	0	0											
ENSG00000146676	PURB	1170	12.32617674											
ENSG00000242860	RN7SL180P	0	0											
ENSG00000197674	OR51C1P	0	0											
ENSG00000234030	TMEM97P1	0	0											
ENSG00000187243	MAGED4B	163	1.442535922											
ENSG00000120440	TTLL2	2	0.037212099											
ENSG00000249156	RP11-432M8.9	0	0											
ENSG00000250560	RP11-598G2.1	0	0											
ENSG00000274459	Metazoa_SRP	0	0											
ENSG00000180211	RP1-278E11.3	10	2.274811076											
ENSG00000271259	RP11-1109F11.5	0	0											
ENSG00000187244	BCAM	1390	13.10497031											
ENSG00000276208	RP11-168J5.2	0	0											
ENSG00000271254	AC240274.1	170	2.716585467											
ENSG00000276205	RP11-529O20.2	0	0											
ENSG00000276204	RP11-203I2.2	0	0											
ENSG00000276203	ANKRD20A3	7	0.055876917											
ENSG00000276202	Metazoa_SRP	0	0											
ENSG00000223867	AC098592.7	0	0											
ENSG00000276200	RN7SL820P	0	0											
ENSG00000186118	TEX38	4	0.124403731											
ENSG00000270124	RP11-118F19.1	0	0											
ENSG00000270127	RP11-526I2.5	0	0											
ENSG00000270120	RP11-327F22.6	0	0											
ENSG00000174099	MSRB3	685	4.373073076											
ENSG00000278338	VWA8-AS1	0	0											
ENSG00000224233	OR2J4P	1	0.102130665											
ENSG00000235199	CYP2C58P	0	0											
ENSG00000224235	RP5-1027O11.1	0	0											
ENSG00000187969	ZCCHC13	0	0											
ENSG00000137409	MTCH1	2866	53.26361802											
ENSG00000224236	MRRFP1	6	0.342240234											
ENSG00000224239	AC090044.2	0	0											
ENSG00000278330	RP11-4B16.4	0	0											
ENSG00000235191	NUCB1-AS1	0	0											
ENSG00000235196	RP1-3E10.2	0	0											
ENSG00000235197	ZNF33AP1	0	0											
ENSG00000264655	CTD-2267D19.4	0	0											
ENSG00000275576	RP5-836N17.4	1	0.208266454											
ENSG00000275572	GRIFIN	2	0.185518573											
ENSG00000060138	YBX3	1415	9.373526517											
ENSG00000275578	RP11-357E16.1	0	0											
ENSG00000281593	GS1-114I9.3	0	0											
ENSG00000044012	GUCA2B	0	0											
ENSG00000231857	MORF4L1P5	0	0											
ENSG00000282998	RP11-152D8.1	0	0											
ENSG00000175946	KLHL38	0	0											
ENSG00000231852	CYP21A2	6	0.062953261											
ENSG00000231851	UTAT33	0	0											
ENSG00000130751	NPAS1	48	0.787723051											
ENSG00000180818	HOXC10	449	9.131346608											
ENSG00000231859	AC007875.2	0	0											
ENSG00000130755	GMFG	6	0.170967012											
ENSG00000233437	RP13-580B18.1	0	0											
ENSG00000186115	CYP4F2	1	0.018211908											
ENSG00000206150	RNASE13	0	0											
ENSG00000110756	HPS5	377	3.715310283											
ENSG00000248840	RP11-357G3.2	0	0											
ENSG00000248842	CTB-1H10.1	0	0											
ENSG00000248843	RP11-357G3.1	0	0											
ENSG00000248844	RP11-626H12.3	0	0											
ENSG00000248846	CTD-2016O11.1	0	0											
ENSG00000248847	RP11-26C10.1	0	0											
ENSG00000248848	PPBPP2	0	0											
ENSG00000134278	SPIRE1	402	2.84655281											
ENSG00000230813	RP11-690C23.5	0	0											
ENSG00000230814	USP9YP24	0	0											
ENSG00000230815	RP11-49O14.3	0	0											
ENSG00000064726	BTBD1	1156	20.66775972											
ENSG00000230818	MTND2P16	0	0											
ENSG00000230819	ZNF736P5Y	0	0											
ENSG00000217791	ASS1P9	0	0											
ENSG00000072506	HSD17B10	293	14.97021136											
ENSG00000181135	ZNF707	306	1.394533476											
ENSG00000134183	GNAT2	3	0.176961996											
ENSG00000069712	KIAA1107	44	0.922729443											
ENSG00000270587	RP11-51F16.9	9	2.082156959											
ENSG00000134186	PRPF38B	710	7.794555386											
ENSG00000134184	GSTM1	4	0.08286389											
ENSG00000262712	RP11-295D4.1	23	1.12751141											
ENSG00000262714	RP11-44F14.8	0	0											
ENSG00000248211	TRPC7-AS1	0	0											
ENSG00000248210	RP11-24I21.1	0	0											
ENSG00000248213	CICP16	0	0											
ENSG00000037042	TUBG2	283	7.776495424											
ENSG00000260622	RP11-690I21.3	0	0											
ENSG00000260620	RP11-883G14.4	0	0											
ENSG00000260621	RP11-413H22.2	2	0.348058525											
ENSG00000260626	RP11-23E10.3	0	0											
ENSG00000078487	ZCWPW1	62	0.887314637											
ENSG00000260625	RP11-452L6.7	28	4.084240956											
ENSG00000248215	RP11-722M1.1	0	0											
ENSG00000260628	RP11-1166P10.1	0	0											
ENSG00000260629	BGLT3	0	0											
ENSG00000042753	AP2S1	1299	32.27861754											
ENSG00000196096	AC079610.2	9	0.497933309											
ENSG00000248216	KCTD9P5	1	0.081704532											
ENSG00000105855	ITGB8	44	0.236682544											
ENSG00000105854	PON2	1144	11.39512126											
ENSG00000111481	COPZ1	1580	18.77833996											
ENSG00000105856	HBP1	354	2.804055541											
ENSG00000105851	PIK3CG	2	0.021343028											
ENSG00000079689	SCGN	1	0.038070212											
ENSG00000105852	PON3	0	0											
ENSG00000142252	GEMIN7	138	3.312817575											
ENSG00000012174	MBTPS2	3020	31.14658325											
ENSG00000131002	TXLNGY	0	0											
ENSG00000012171	SEMA3B	662	3.522689608											
ENSG00000220447	RP1-276J11.2	1	0.245743708											
ENSG00000131007	TTTY9B	0	0											
ENSG00000135587	SMPD2	50	2.001343835											
ENSG00000084710	EFR3B	72	0.560144383											
ENSG00000257022	RP11-729I10.2	0	0											
ENSG00000214110	LDHAP4	115	11.00951324											
ENSG00000196098	OR5K4	2	0.197809659											
ENSG00000071082	RPL31	2058	22.96798428											
ENSG00000124490	CRISP2	1	0.042752371											
ENSG00000139780	METTL21C	1	0.08786241											
ENSG00000180660	MAB21L1	0	0											
ENSG00000180663	VN1R3	0	0											
ENSG00000180662	RPL21P8	0	0											
ENSG00000180667	YOD1	412	5.891926016											
ENSG00000188419	CHM	582	5.108536722											
ENSG00000135632	SMYD5	634	12.66723423											
ENSG00000135631	RAB11FIP5	1379	14.07185241											
ENSG00000135636	DYSF	134	1.292433443											
ENSG00000135637	CCDC142	295	2.816566341											
ENSG00000147155	EBP	480	10.91147338											
ENSG00000112539	C6orf118	1	0.034055683											
ENSG00000263443	RP11-973F15.2	0	0											
ENSG00000114503	NCBP2	827	4.755045668											
ENSG00000258629	CTD-2014B16.1	0	0											
ENSG00000184992	BRI3BP	687	9.873419943											
ENSG00000116670	MAD2L2	620	10.25928735											
ENSG00000259767	RP11-90B9.2	0	0											
ENSG00000224296	MRPL49P1	0	0											
ENSG00000115677	HDLBP	6714	22.99048081											
ENSG00000259763	RP11-327J17.1	0	0											
ENSG00000259762	RP11-158M2.4	0	0											
ENSG00000259761	RP11-138H10.2	0	0											
ENSG00000259760	RP11-20G13.2	0	0											
ENSG00000259769	RP11-1360M22.2	0	0											
ENSG00000259768	RP5-991G20.1	101	1.99295855											
ENSG00000261971	MMP25-AS1	115	1.309125963											
ENSG00000250038	RP11-180C1.1	0	0											
ENSG00000258624	SERPINE4P	0	0											
ENSG00000261978	CTD-2529O21.2	0	0											
ENSG00000267593	RP11-108P20.4	0	0											
ENSG00000116852	KIF21B	130	0.900505867											
ENSG00000226284	ARPC3P1	7	1.254871846											
ENSG00000267594	CYP4F24P	0	0											
ENSG00000267597	RPIAP1	1	0.128833292											
ENSG00000263196	MTND3P13	0	0											
ENSG00000263199	RP11-372K20.1	0	0											
ENSG00000219747	RP1-292B18.1	34	8.021073313											
ENSG00000162591	MEGF6	225	2.400595235											
ENSG00000125255	SLC10A2	0	0											
ENSG00000227258	SMIM2-AS1	1	0.028198909											
ENSG00000227256	MIS18A-AS1	2	0.248483915											
ENSG00000227257	RP11-330M2.3	0	0											
ENSG00000227254	VDAC1P12	0	0											
ENSG00000227255	CDRT15P2	0	0											
ENSG00000227252	AC105760.2	18	0.734625021											
ENSG00000227253	RP11-166N17.1	2	0.139988374											
ENSG00000267734	RP4-604K5.3	0	0											
ENSG00000105143	SLC1A6	1	0.00864872											
ENSG00000105141	CASP14	0	0											
ENSG00000105146	AURKC	1	0.025116737											
ENSG00000267630	AC005758.1	0	0											
ENSG00000267631	CGB1	2	0.160440076											
ENSG00000267632	RP11-400F19.18	4	0.220143007											
ENSG00000267633	CTB-5E10.3	0	0											
ENSG00000267634	RPL7L1P5	0	0											
ENSG00000267636	AC008992.1	0	0											
ENSG00000267637	RP11-619I22.1	0	0											
ENSG00000186543	CROCCP5	0	0											
ENSG00000235949	AC061961.2	0	0											
ENSG00000211798	TRAV18	0	0											
ENSG00000235940	MTND1P21	0	0											
ENSG00000235943	TMEM212-IT1	0	0											
ENSG00000235942	LCE6A	0	0											
ENSG00000146205	ANO7	15	0.11606602											
ENSG00000235944	ZNF815P	16	0.405806489											
ENSG00000235947	EGOT	1	0.065296655											
ENSG00000235946	LL0XNC01-240C2.1	1	0.192730449											
ENSG00000164418	GRIK2	13	0.132194453											
ENSG00000242509	RN7SL156P	0	0											
ENSG00000164411	GJB7	4	0.069220841											
ENSG00000164414	SLC35A1	90	2.074521193											
ENSG00000280163	CTC-277H1.6	5	0.285231381											
ENSG00000222154	RN7SKP218	0	0											
