"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","symbol","entrez","genename"
"ENSG00000125726",204.174096496683,10.2617421450616,1.51180433575129,6.78774488364065,1.13899825834329e-11,8.42929665459132e-10,"TRUE","ENSG00000125726","970","CD70 molecule"
"ENSG00000172461",115.411421864613,-10.2339829413084,1.73672507756332,-5.89269025565462,3.79958227271138e-09,1.85472632335376e-07,"TRUE","ENSG00000172461","10690","fucosyltransferase 9"
"ENSG00000083307",839.89743173882,-10.2224199133105,1.04419271242839,-9.78978285486893,1.2456310778172e-22,4.98015168064437e-20,"TRUE","ENSG00000083307","79977","grainyhead like transcription factor 2"
"ENSG00000138675",353.556597519111,10.1871496143844,1.6739406489244,6.08572927656078,1.15962245190191e-09,6.22120773557089e-08,"TRUE","ENSG00000138675","2250","fibroblast growth factor 5"
"ENSG00000124664",1635.20016088633,-10.1805884058321,0.754999067019388,-13.4842397170415,1.93651381544495e-41,5.41965666482527e-38,"TRUE","ENSG00000124664","25803","SAM pointed domain containing ETS transcription factor"
"ENSG00000167880",597.51337899376,-10.1641896414575,1.1172625031227,-9.09740514252384,9.25157043859697e-20,2.50568340007936e-17,"TRUE","ENSG00000167880","2125","envoplakin"
"ENSG00000260401",214.252840477944,-10.1632040561157,1.35334682697573,-7.50968181513904,5.92712470912227e-14,6.91168598024869e-12,"TRUE","ENSG00000260401",NA,NA
"ENSG00000198796",518.725913378693,10.1265190101266,1.17180132064445,8.64183956078608,5.53150704715154e-18,1.19083418379191e-15,"TRUE","ENSG00000198796","115701","alpha kinase 2"
"ENSG00000167183",204.33924434607,-10.0948284765178,1.3689366852867,-7.37421137516203,1.653207152496e-13,1.75700344966537e-11,"TRUE","ENSG00000167183","79170","proline rich 15 like"
"ENSG00000144681",181.473625367097,10.0911192725098,1.36970396589705,7.36737245693878,1.74023791163467e-13,1.83786635296662e-11,"TRUE","ENSG00000144681","6769","SH3 and cysteine rich domain"
"ENSG00000124507",195.479422232678,-10.0314537316981,1.43336761017733,-6.99852128684357,2.5867806413974e-12,2.21618472093598e-10,"TRUE","ENSG00000124507","29993","protein kinase C and casein kinase substrate in neurons 1"
"ENSG00000138685",1413.85019739464,10.0281942836111,1.00107872077577,10.0173883187127,1.27836325788335e-23,5.64901995430979e-21,"TRUE","ENSG00000138685","2247","fibroblast growth factor 2"
"ENSG00000122420",323.831787505317,10.0203415562935,1.43309051265724,6.9921205030614,2.70762154415845e-12,2.2962818671469e-10,"TRUE","ENSG00000122420","5737","prostaglandin F receptor"
"ENSG00000204767",86.1463976272006,9.97967196205733,1.32576284614887,7.52749406958167,5.17233568965688e-14,6.11646907751537e-12,"TRUE","ENSG00000204767","100131897","inhibitory synaptic factor family member 2B"
"ENSG00000149300",95.5911186646385,-9.9623123341148,1.56580308685073,-6.36242987242526,1.98586716234685e-10,1.25363463872663e-08,"TRUE","ENSG00000149300","91894","chromosome 11 open reading frame 52"
"ENSG00000261786",82.9302658246286,9.92430327769378,1.80740768700621,5.49090465258141,3.99880197453443e-08,1.64982512914944e-06,"TRUE","ENSG00000261786",NA,NA
"ENSG00000125538",293.49158993301,9.91790052440465,1.71499384012592,5.78305314710429,7.33568743090676e-09,3.409405767686e-07,"TRUE","ENSG00000125538","3553","interleukin 1 beta"
"ENSG00000087116",457.424071954394,9.9054971548811,1.5981884670403,6.19795309449652,5.7202180922318e-10,3.25910293072768e-08,"TRUE","ENSG00000087116","9509","ADAM metallopeptidase with thrombospondin type 1 motif 2"
"ENSG00000248663",91.4196555358839,-9.89795430305551,1.65394578791958,-5.98444905229068,2.17123536316974e-09,1.09159832989061e-07,"TRUE","ENSG00000248663",NA,NA
"ENSG00000198732",720.499669514729,9.88045940124386,1.43313591910095,6.89429332525708,5.41332236719221e-12,4.32859567570912e-10,"TRUE","ENSG00000198732","64093","SPARC related modular calcium binding 1"
"ENSG00000157303",173.062103001252,-9.85521791696878,1.49653036571231,-6.5853778464949,4.53730003236914e-11,3.1098098834099e-09,"TRUE","ENSG00000157303","203328","sushi domain containing 3"
"ENSG00000241978",916.609875702601,9.75650901110046,0.986443665535175,9.89058914561255,4.57328487074559e-23,1.919864988739e-20,"TRUE","ENSG00000241978",NA,NA
"ENSG00000039068",3365.24163022674,-9.70206964047088,0.745246091590684,-13.0186119054477,9.58983449558956e-39,2.01290626062425e-35,"TRUE","ENSG00000039068","999","cadherin 1"
"ENSG00000143469",133.532507424615,9.64834519107193,1.77990095189983,5.42072028265027,5.9359377760016e-08,2.35085535694856e-06,"TRUE","ENSG00000143469","255928","synaptotagmin 14"
"ENSG00000132718",133.295400807906,9.64545269665084,1.57012738141778,6.14310202522631,8.0925266345592e-10,4.41200348206228e-08,"TRUE","ENSG00000132718","23208","synaptotagmin 11"
"ENSG00000196542",1077.29307295005,-9.63606618938593,1.05618504594597,-9.12346394826616,7.27607120935839e-20,2.03632979579243e-17,"TRUE","ENSG00000196542","165679","serine palmitoyltransferase small subunit B"
"ENSG00000130294",1270.01825117833,-9.62633720524246,2.73735272937465,-3.51665939940506,NA,NA,NA,"ENSG00000130294","547","kinesin family member 1A"
"ENSG00000144583",129.841283978374,9.60755683801852,1.6034878203941,5.99166187346355,2.07707436255192e-09,1.04739437525441e-07,"TRUE","ENSG00000144583","57574","membrane associated ring-CH-type finger 4"
"ENSG00000050030",71.525104888491,-9.54341398735852,1.51070183412347,-6.31720553440365,2.6633526480548e-10,1.65640806170875e-08,"TRUE","ENSG00000050030","340533","neurite extension and migration factor"
"ENSG00000059804",476.0773863831,9.53128810789095,1.61664635726116,5.89571619363826,3.73059702702799e-09,1.8263610868179e-07,"TRUE","ENSG00000059804","6515","solute carrier family 2 member 3"
"ENSG00000253522",122.885012014799,9.5282345151961,1.70580987846285,5.58575409575083,2.32688292951451e-08,9.99309927171553e-07,"TRUE","ENSG00000253522","107075116","MIR3142 host gene"
"ENSG00000164509",121.000319497664,9.5057630471605,1.31963365469074,7.20333481445513,5.87574539001841e-13,5.83819624788101e-11,"TRUE","ENSG00000164509","133396","interleukin 31 receptor A"
"ENSG00000135374",504.793696790961,-9.49832379668755,0.938223139563035,-10.1237364504901,4.33541978737134e-24,2.18858166338958e-21,"TRUE","ENSG00000135374","2001","E74 like ETS transcription factor 5"
"ENSG00000128833",1351.71173214753,-9.46715991803259,0.704692029902455,-13.4344642997354,3.79806861358773e-41,9.11102402276644e-38,"TRUE","ENSG00000128833","55930","myosin VC"
"ENSG00000106366",1185.32143703814,9.44905032261997,1.43115780996177,6.60238183158319,4.04603761548279e-11,2.78446982127815e-09,"TRUE","ENSG00000106366","5054","serpin family E member 1"
"ENSG00000168350",235.281394438637,-9.44307957835218,1.32327159089866,-7.13616134684731,9.59733494257984e-13,9.15673002021595e-11,"TRUE","ENSG00000168350","123099","delta 4-desaturase, sphingolipid 2"
"ENSG00000134258",128.99029115829,-9.43039550362427,1.30745462914791,-7.2127898692517,5.48169736554784e-13,5.47908703346900e-11,"TRUE","ENSG00000134258","79679","V-set domain containing T cell activation inhibitor 1"
"ENSG00000173530",414.861130757232,9.39568714053213,1.14530008117686,8.20369027729178,2.33118222189724e-16,4.07762623646858e-14,"TRUE","ENSG00000173530","8793","TNF receptor superfamily member 10d"
"ENSG00000105974",3666.60330778762,9.38982218048399,0.87312746704754,10.7542398273593,5.65987514059106e-27,4.13220101568718e-24,"TRUE","ENSG00000105974","857","caveolin 1"
"ENSG00000148516",407.604660667553,9.38220502891038,0.997873628196297,9.402197596773,5.34351482148766e-21,1.83118981392695e-18,"TRUE","ENSG00000148516","6935","zinc finger E-box binding homeobox 1"
"ENSG00000125850",63.8685586376691,-9.37978371350036,1.38666340056458,-6.76428303341774,1.33970958682632e-11,9.78104494869027e-10,"TRUE","ENSG00000125850","58495","ovo like zinc finger 2"
"ENSG00000179178",63.1406135711638,-9.36433273871464,1.43915681796916,-6.50681886907152,7.6758870739571e-11,5.09460457493627e-09,"TRUE","ENSG00000179178","128218","transmembrane protein 125"
"ENSG00000137273",109.389212026083,9.35978007146923,1.49772931558913,6.24931352684887,4.12260614487913e-10,2.42051756590246e-08,"TRUE","ENSG00000137273","2295","forkhead box F2"
"ENSG00000157168",300.531362035029,9.32432305278638,1.04185602539247,8.94972321081876,3.56374820076673e-19,9.06703936170833e-17,"TRUE","ENSG00000157168","3084","neuregulin 1"
"ENSG00000170989",102.206610161399,9.26236061696315,1.6077444251393,5.76109017834763,8.35723713519015e-09,3.86597041251e-07,"TRUE","ENSG00000170989","1901","sphingosine-1-phosphate receptor 1"
"ENSG00000166250",2135.15213832253,9.25893684360485,1.09000877034388,8.49436912391429,1.99010898140725e-17,4.07535487997446e-15,"TRUE","ENSG00000166250","79827","CXADR like membrane protein"
"ENSG00000165731",615.971723707932,-9.25580355274191,1.31905263992563,-7.01700847455474,2.26668866421424e-12,1.95190954099926e-10,"TRUE","ENSG00000165731","5979","ret proto-oncogene"
"ENSG00000095585",114.053665168564,-9.25254528769436,1.53405013924256,-6.03144907132097,1.62495937149806e-09,8.44777639820293e-08,"TRUE","ENSG00000095585","29760","B cell linker"
"ENSG00000145103",58.0169045966663,-9.24107856530985,1.49690589905284,-6.17345323520812,6.68143190897791e-10,3.7398201538519e-08,"TRUE","ENSG00000145103","286676","immunoglobulin like domain containing receptor 1"
"ENSG00000249992",1881.49151806203,9.23740041821634,0.729847838013128,12.6566113333478,1.02843580989965e-36,1.72694941198349e-33,"TRUE","ENSG00000249992","25907","transmembrane protein 158"
"ENSG00000149968",50.2870367898789,9.20191356592776,1.567767272356,5.86943848629993,4.37273551511984e-09,2.11605114610641e-07,"TRUE","ENSG00000149968","4314","matrix metallopeptidase 3"
"ENSG00000261183",56.0981712966689,-9.19379882837169,1.47549797398668,-6.23098031339939,4.63525360547903e-10,2.69325877312124e-08,"TRUE","ENSG00000261183","102724362","SPINT1 antisense RNA 1"
"ENSG00000108244",397.620188779434,-9.14874231442834,1.67164382084727,-5.47290170330142,NA,NA,NA,"ENSG00000108244","25984","keratin 23"
"ENSG00000144642",93.4437311886983,9.13178658280519,1.37599880229291,6.63647858383914,3.21265589192758e-11,2.26667721585075e-09,"TRUE","ENSG00000144642","27303","RNA binding motif single stranded interacting protein 3"
"ENSG00000173068",174.712494820996,9.12571740131843,1.57441078714302,5.79627469262851,6.78041718645495e-09,3.17149764331341e-07,"TRUE","ENSG00000173068","54796","basonuclin 2"
"ENSG00000124882",1860.86815012418,9.11280863253144,3.01707521713216,3.02041148354051,NA,NA,NA,"ENSG00000124882","2069","epiregulin"
"ENSG00000168685",270.782226157671,9.11261261988216,1.57583328000533,5.78272634263147,7.34995764591671e-09,3.409405767686e-07,"TRUE","ENSG00000168685","3575","interleukin 7 receptor"
"ENSG00000175707",103.355563563175,-9.11037620631189,1.31396092384719,-6.93352141678406,4.10491731850068e-12,3.41236493130017e-10,"TRUE","ENSG00000175707","126695","keratinocyte differentiation factor 1"
"ENSG00000158258",187.8702057187,-9.08657041608782,1.48507346447929,-6.11859994365587,9.44010678417136e-10,5.11349268128405e-08,"TRUE","ENSG00000158258","64084","calsyntenin 2"
"ENSG00000119630",648.863145500419,9.08270301008649,1.49412349050222,6.07895068099993,1.20971556445896e-09,6.46928145171808e-08,"TRUE","ENSG00000119630","5228","placental growth factor"
"ENSG00000163565",728.139160875778,9.07818955253484,1.5263324138401,5.94771458053165,2.71912186952301e-09,1.354881140446e-07,"TRUE","ENSG00000163565","3428","interferon gamma inducible protein 16"
"ENSG00000235531",88.4492980307423,9.05273416320033,1.65940650100182,5.45540478341803,4.88614089721002e-08,1.97706211917954e-06,"TRUE","ENSG00000235531","100132891","MSC antisense RNA 1"
"ENSG00000049283",1066.39133356536,-9.04908109170713,0.89708488967781,-10.0872071259133,6.2934647425426e-24,2.93555166546598e-21,"TRUE","ENSG00000049283","55040","epsin 3"
"ENSG00000183287",337.165554187504,9.04449853388106,1.30791554976426,6.91520070658326,NA,NA,NA,"ENSG00000183287","147372","collagen and calcium binding EGF domains 1"
"ENSG00000277013",49.9615725273183,-9.02652337469274,1.75238635493356,-5.1509893062566,2.59115964971564e-07,8.95282980206276e-06,"TRUE","ENSG00000277013",NA,NA
"ENSG00000163739",745.988148605776,9.01220650456423,1.27222644819532,7.08380690980619,1.40247289626624e-12,1.28690299858485e-10,"TRUE","ENSG00000163739","2919","C-X-C motif chemokine ligand 1"
"ENSG00000211448",1323.55745517179,8.97922309469411,1.58555051814717,5.66315799586569,1.48612206245561e-08,6.54985870675972e-07,"TRUE","ENSG00000211448","1734","iodothyronine deiodinase 2"
"ENSG00000204381",230.334086366255,8.95307925274227,1.36620003594004,6.55327112956923,5.62901787622998e-11,3.81138984587314e-09,"TRUE","ENSG00000204381","143903","layilin"
"ENSG00000162105",573.389326808989,-8.92439313635183,0.961695203313761,-9.27985613903512,1.69707546373249e-20,5.27727614574e-18,"TRUE","ENSG00000162105","22941","SH3 and multiple ankyrin repeat domains 2"
"ENSG00000145287",376.832300216815,8.91917815842143,1.15717794028049,7.70769805399118,1.28107404198737e-14,1.64212177962228e-12,"TRUE","ENSG00000145287","51316","placenta associated 8"
"ENSG00000162777",248.283362990165,-8.88240399831397,1.09375851091598,-8.12099189141424,4.62388929708715e-16,7.76443490766874e-14,"TRUE","ENSG00000162777","79961","DENN domain containing 2D"
"ENSG00000185052",158.688761994415,-8.87810485725781,1.36596335443122,-6.49951905990525,8.05771928084126e-11,5.30608714368182e-09,"TRUE","ENSG00000185052","57419","solute carrier family 24 member 3"
"ENSG00000052344",328.263464644366,-8.86532396018931,1.03798874321258,-8.54086715117073,1.332183020591e-17,2.76173052861284e-15,"TRUE","ENSG00000052344","5652","serine protease 8"
"ENSG00000165140",687.74743584873,-8.8160716220619,0.913029764980024,-9.6558425148985,4.64326634146109e-22,1.73266063124032e-19,"TRUE","ENSG00000165140","2203","fructose-bisphosphatase 1"
"ENSG00000104413",1318.43679490151,-8.81175481335402,0.96480830300326,-9.13316643930691,6.65244764398241e-20,1.89335425148733e-17,"TRUE","ENSG00000104413","54845","epithelial splicing regulatory protein 1"
"ENSG00000176532",84.0423983574813,-8.8113465409157,1.42575182476934,-6.18014046192171,6.40445936151871e-10,3.60884837579269e-08,"TRUE","ENSG00000176532","222171","proline rich 15"
"ENSG00000203635",42.8000549135118,-8.8021663048337,1.4070213569041,-6.25588677928906,3.9526343388426e-10,2.33212099990858e-08,"TRUE","ENSG00000203635",NA,NA
"ENSG00000134874",346.374578739294,8.80205895824825,0.840504223296673,10.4723554198506,1.15727002952106e-25,7.63253406746874e-23,"TRUE","ENSG00000134874","22873","DAZ interacting zinc finger protein 1"
"ENSG00000170160",37.4778818801544,8.77985527976638,1.82944936854195,4.7991791578052,NA,NA,NA,"ENSG00000170160","9720","coiled-coil domain containing 144A"
"ENSG00000165125",319.5790697912,-8.76296826342371,1.75539538301445,-4.99201966019503,5.97511712862668e-07,1.89309748724338e-05,"TRUE","ENSG00000165125","55503","transient receptor potential cation channel subfamily V member 6"
"ENSG00000114251",1096.74253384782,8.7584886393037,1.16147229202172,7.54085026346878,4.66917000185797e-14,5.56061721072333e-12,"TRUE","ENSG00000114251","7474","Wnt family member 5A"
"ENSG00000166145",1398.14136083306,-8.75435836629171,0.865800298879587,-10.1112905338801,4.92314409093908e-24,2.36198387357283e-21,"TRUE","ENSG00000166145","6692","serine peptidase inhibitor, Kunitz type 1"
"ENSG00000197646",70.3946830882181,8.72306455703957,1.35938590914733,6.4169155339495,1.39063026735595e-10,8.91277230894697e-09,"TRUE","ENSG00000197646","80380","programmed cell death 1 ligand 2"
"ENSG00000196167",78.64758561804,-8.71536387271738,1.74159528682582,-5.00424176537693,5.60823359244531e-07,1.7869726467617e-05,"TRUE","ENSG00000196167","399948","colorectal cancer associated 1"
"ENSG00000152377",792.860638788215,8.69552831810057,0.850329216634963,10.2260726175112,1.5154091412552e-24,8.77474148274388e-22,"TRUE","ENSG00000152377","6695","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
"ENSG00000131620",362.614786381715,-8.68885734204785,1.40734529836915,-6.17393425203936,6.66112502993456e-10,3.7398201538519e-08,"TRUE","ENSG00000131620","55107","anoctamin 1"
"ENSG00000235884",35.1799647261388,8.68845455821474,1.49412775318624,5.8150680486903,6.06092252172605e-09,2.85527115201812e-07,"TRUE","ENSG00000235884",NA,NA
"ENSG00000136244",245.679386206649,8.66749132200751,1.38126395032897,6.27504346286834,3.49536639129147e-10,2.08135434193498e-08,"TRUE","ENSG00000136244","3569","interleukin 6"
"ENSG00000154822",122.972840876542,8.65336320335509,1.39952004112493,6.18309345280938,6.28574770347233e-10,3.55388132783527e-08,"TRUE","ENSG00000154822","23228","phospholipase C like 2"
"ENSG00000233608",193.776366481063,8.65160249595802,1.25821830486182,6.87607425716808,6.15244386299589e-12,4.85032100222662e-10,"TRUE","ENSG00000233608","117581","twist family bHLH transcription factor 2"
"ENSG00000167642",2196.47054582458,-8.64295397371321,0.630979523480844,-13.6976774238786,1.04823975766198e-42,3.520408402132e-39,"TRUE","ENSG00000167642","10653","serine peptidase inhibitor, Kunitz type 2"
"ENSG00000134602",496.778115172928,-8.62896831536391,1.15158912635227,-7.49309638125594,6.72674660063495e-14,7.79003647709394e-12,"TRUE","ENSG00000134602","51765","serine/threonine kinase 26"
"ENSG00000169554",239.401977342607,8.61718990730031,1.07395120052209,8.0238188691545,1.0250741977315e-15,1.60869588115021e-13,"TRUE","ENSG00000169554","9839","zinc finger E-box binding homeobox 2"
"ENSG00000184005",33.3278479731624,8.60815948351143,1.49629462386369,5.75298430283983,8.76816297404932e-09,4.03383541534894e-07,"TRUE","ENSG00000184005","256435","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"
"ENSG00000264230",289.165178551944,8.56095274438862,1.41649664872284,6.043750793274,1.50572026242124e-09,7.87665253787459e-08,"TRUE","ENSG00000264230","728113","annexin A8 like 1"
