	HS578T	MCF7	MDA-MB-231	T47D	ZR-75B
ADAT1	26.4945	61.2215	46.1525	41.4583	23.1034
ADAT2	3.02813	3.40483	3.57656	2.1446	2.45498
ADAT3	3.10468	2.23754	4.10124	4.57309	2.03307
ADC	1.2051	1.32036	4.88498	0.389865	1.30263
ADCK1	1.71864	3.81313	1.32886	10.0169	3.56922
ADCK2	4.23397	19.2471	9.593	19.581	7.48895
ADCK3	3.17421	18.9992	14.1488	11.6128	12.3652
ADCK4	10.3277	13.03	8.25052	16.5201	16.7314
ADCK5	4.97205	4.97408	4.87301	4.76061	7.29479
ADCK5	0	0	0	0	0
ADCY1	0.0313115	2.11646	0.00456076	1.19607	31.9263
ADCY10	0.143177	0	0.0234122	0.168707	0.0112788
ADCY10P1	0.238867	0.162212	0.225805	0.0176207	0.0912608
ADCY2	0	0	0	0.537052	1.42488
ADCY3	30.8344	16.3632	32.406	15.7053	53.0286
ADCY4	0	0.207832	0	0.121381	0.222079
ADCY5	0.0272563	0.159162	0.0196639	0.00447419	0.24902
ADCY6	6.90649	38.6788	11.3186	46.2975	27.9592
ADCY7	14.8974	1.70349	6.99713	0.16285	4.95935
ADCY8	0	0	0.00486501	0	0
ADCY9	9.3184	4.33743	7.83433	21.0154	13.104
ADCYAP1	0.0630985	0	0	0	0
ADCYAP1R1	0	0	0	0	0.156708
ADD1	62.8786	41.1475	56.122	60.8542	53.0615
ADD2	0.293194	0.0673036	11.0117	0.00561444	0.0151195
ADD3	40.3785	3.18493	14.7018	9.58485	4.71374
ADGB	0	0	0	0.0109578	0
ADH1A	0.0889661	0	1.20E-40	0	0
ADH1B	0.099487	0.0254778	0	0.0210851	0
ADH1C	0.442492	0.0245976	0.0883823	0.308254	0.149318
ADH4	0	0	0	0	0
ADH5	144.813	61.3834	48.2098	50.2914	45.3688
ADH5P2	0.099669	0	0	0.0164006	0.0277302
ADH5P3	0	0	0	0	0
ADH5P4	30.4473	12.0045	10.2634	12.2561	9.78023
ADH6	1.37818	0.140735	0.408448	0.0241441	0.138809
ADH7	0.124234	0	0.215653	0	0
ADHFE1	0.97669	0.301881	0.639636	3.28516	0.428479
ADI1	51.7918	34.0082	38.4813	45.8972	37.2605
ADIG	0	0	0	0	0
ADIPOQ	0	0	0	0.348474	0
ADIPOQ-AS1	0	0	0	1.43E-89	0
ADIPOR1	39.2601	145.367	66.0458	94.8279	103.757
ADIPOR2	17.6369	60.3763	36.002	31.7823	41.9754
ADK	43.7027	71.975	81.1887	142.601	211.556
ADM	68.8372	0.521015	12.1135	22.5362	1.90764
ADM2	7.04785	2.75101	1.67705	4.90339	1.74426
ADM5	0.0716904	1.89356	0.534553	0.78652	0.316783
ADNP	23.6377	33.0215	21.4763	40.1002	34.7813
ADNP2	10.8702	11.7272	8.58584	11.3848	14.6856
ADO	9.16796	8.63118	14.3036	8.93622	8.30436
ADORA1	0.124219	1.09192	1.81513	2.9042	0.745283
ADORA2A	4.70327	2.174	0.784336	0.586784	1.24936
ADORA2A-AS1	0.191525	0.600691	0.126437	0.0136235	0.0759154
ADORA2B	25.3473	3.57786	35.8987	0.500178	3.18143
ADORA2BP	0	0	0	0	0
ADORA3	0	0	0.0802233	0	0
ADPGK	15.3445	34.5146	31.6704	27.7517	19.948
ADPGK-AS1	0.140483	0.0331207	0.0833534	0.0283631	0.0815414
ADPRH	1.0867	0.238331	0.361703	2.55282	0
ADPRHL1	0.936801	14.3709	5.39289	19.5953	10.465
ADPRHL2	25.3363	12.3964	20.3446	25.728	34.5822
ADPRM	4.23244	5.02913	5.69761	3.68629	2.59633
ADRA1A	0	0	0	0	0
ADRA1B	0.857868	0	4.6015	0.0805771	0
ADRA1D	0.559127	0	0.0111327	0	0
ADRA2A	1.20617	0	0	4.83968	3.54782
ADRA2B	0	0.814103	0	0.13308	0.46852
ADRA2C	0	15.144	0	4.37052	6.19701
ADRB1	0	0.37549	0.207488	0.247912	0.350134
ADRB2	0.0514887	0.0206937	26.5255	0.118454	0
ADRB3	0	0	0	0	0
ADRBK1	21.7333	65.1667	33.1346	44.0032	84.7918
ADRBK2	1.35953	2.27945	2.024	2.51968	10.2439
ADRM1	98.8466	66.4017	124.235	149.901	118.61
ADSL	102.54	38.5356	89.668	51.2871	54.6617
ADSS	17.2947	7.94048	27.6701	19.5209	12.7898
ADSSL1	1.4856	17.0528	0.735511	3.37817	2.23323
ADTRP	0.862407	0	0.572614	0.0806164	0
AE000658.22	0	4.85E-31	0.0312038	4.27E-84	0
AE000658.25	0	0	0	0	0
AE000658.26	0	0	0	0	0
AE000658.27	0	0.250331	0.1805	0.514928	0.172773
AE000658.29	0	0	0	0	0
AE000658.30	0	0	0	0	0
AE000658.31	0	0	0	0	0
AE000659.1	0	0	0	0	0
AE000659.41	0	0	0	0	0
AE000660.1	0	0	0	0	0
AE000660.4	0	0	0	0	0
AE000661.36	0	0	0	0	0
AE000661.37	0.113055	0	0	0	0
AE000661.50	0	0	0	0	0
AE000662.92	0	0	0.0443614	0	0
AE000662.93	0	0	0.117254	0	0
AEBP1	2.44178	1.71788	0.0232385	0.0503817	0.120847
AEBP2	9.74355	15.4998	14.8089	10.5192	18.0789
AEN	5.45427	31.1778	14.039	11.1649	13.7983
AES	186.734	243.585	292.409	330.31	250.645
AF001548.5	0.418497	1.18932	0.80172	2.26	5.84064
AF001548.6	0	0	0	0	0.162093
AF001550.7	0	0	0	0	0
AF003529.2	0	0	0	0	0
AF003626.1	0	0	0	0	0
AF003626.1	0	0	0	0	0
AF003626.2	0	0	0	0	0
AF011889.2	4.86E-268	0.135716	0.0791499	0.0942971	0.350542
AF011889.2	0	0	0	0	0
AF011889.4	0.520651	0.942371	0.952974	0.265267	1.40344
AF011889.5	15.1966	11.8079	45.6761	3.46671	11.4098
AF011889.5	0	0	0	0	0
AF011889.6	4.61E-73	0	1.91E-131	0	2.83E-303
AF011889.6	0	0	0	0	0
AF013593.1	0.0363644	0.029233	0.231112	0.0956678	0.060719
AF015262.2	0	0	0	0	0
AF015720.3	0	0	0	0	0
AF038458.2	0.0516248	0.26973	0.0596316	0	0.100585
AF038458.3	0	0	0	0	0
AF038458.4	0	0	0.717765	0	0.11297
AF038458.5	0	0	0	0	0
AF064858.10	0	0	0	0	0
AF064858.11	0	0	0	0	0
AF064858.6	0	0	0	0	0
AF064858.7	0	0	0	0	0
AF064858.8	0	0	0	0	0.0428721
AF064860.5	0	0	0.0353816	0	0
AF064860.7	0.0349337	0	0.0711193	0	0
AF064863.1	0	0	0	0	0
AF067845.1	0	0	0	0	0
AF070718.1	0	0	0	0	0
AF096876.1	0	0	0	0	0
AF104455.1	0	0	0	0	0
AF121897.4	0	0	0	0	0
AF121898.1	0	0	0	0	0
AF121898.2	0	0	0	0	0
AF121898.3	0	0	0	0	0
AF124730.4	0	0	0	0	0
AF127577.10	5.56E-138	1.13E-131	2.65E-222	6.80E-130	1.15E-136
AF127577.11	0	0	0	0	0.0399492
AF127577.12	0	0.130144	0	0.107112	0
AF127577.8	0	0	0	0	0
AF127936.3	0	0	0.0471836	0	0
AF127936.5	0.0886371	0	0	0	0.049288
AF127936.7	1.05169	1.78001	0.685704	3.39886	1.51112
AF129075.5	0.375682	0.120843	0.173887	0.247627	0.501488
AF130343.1	0	0	0	0	0
AF131215.1	0	0	0	0	0
AF131215.2	1.27566	0	0.164905	0.0125103	0
AF131215.3	0	0	0.0176482	0	0
AF131215.4	0	0	0	0	0
AF131215.5	0.0239985	0	0	0	0
AF131215.6	0	0	0	0	0
AF131216.5	0	0.493386	0	1.64945	0.341466
AF131216.6	0.0951478	0.0209706	0.0350933	0.0965461	0.0482618
AF131217.1	0.0906103	0	0	0	0.0718752
AF146191.1	0	0	0	0	0.279297
AF146191.1	0	0	0	0	0
AF146191.4	0	0	0.0405329	0.18469	0.554923
AF146191.4	0	0	0	0	0
AF165138.7	0	0	0	0	0
AF178030.2	0	0	0	0.125546	0
AF186192.1	0	0.0917951	0	0	0
AF186192.5	0	0	0	0.357932	0
AF186192.6	0	0.831345	0	0	0
AF186996.1	0	0	0	0	0
AF186996.2	0	0	0	0	0
AF196779.1	0	0	0	0	0
AF196969.1	0	0	0	0	0
AF196970.3	5.73E-56	2.30E-67	1.46E-93	8.06E-163	2.20E-103
AF196970.3	0	0	0	0	0
AF196972.10	0	0	0	0	0
AF196972.10	0	0	0	0	0
AF196972.2	0	0	0	0	0
AF196972.3	0	0	0	0	0
AF196972.3	0	0	0	0	0
AF196972.4	0.905924	0.0662085	0.642481	0.582445	0.527093
AF196972.4	0	0	0	0	0
AF196972.9	0.191903	0	0	0.633199	0.0533484
AF196972.9	0	0	0	0	0
AF207550.1	0.0725684	0.525198	0.503786	0.143478	0.444007
AF212831.2	0	0	0	0	0
AF213884.1	0	0	0	0	0
AF213884.2	0	0.234622	0.0845647	0.0964794	0.161974
AF213884.3	0	0	0	0	0
AF216667.1	0	0	0	0	0
AF222686.1	0	0	0	0	0
AF224669.3	0	0.123201	0	0	0
AF228730.1	0	0	0	0	0
AF228730.12	0	0	0	0	0
AF228730.13	0	0	0	0	0
AF228730.2	0	0	0	0	0
AF228730.5	0	0	0	0	0
AF228730.7	0	0	0	0	0
AF228730.8	0	0	0	0	0
AF230666.2	0.077645	0	0.0449272	0.102372	0.21592
AF235103.1	7.21883	0	16.482	8.41873	10.059
AF238378.7	0	0	0	0	0
AF238380.3	1.01967	1.97183	0.79081	3.10258	3.86683
AF238380.5	0.0999399	0.348134	0.134716	0.74482	0.852955
AF238380.5	0	0	0	0	0
AF238380.8	0	0	0	0	0
AF238380.8	0	0	0	0	0
AF240627.2	0	0	0.0384322	0	0
AF241725.1	0	0	0	0	0
AF241725.4	0	0	0	0	0
AF241725.6	0	0	0	0	0
AF241726.2	0	0	0	0	0
AF241726.4	0	0	0	0	0
AF250324.1	0	0	0	0	0
AF254982.2	0	0.235008	0	0	0
AF274573.1	0	0	0	0	0
AF274855.1	36.5351	0	0	0	0
AF277315.13	0.345624	0	0.201372	0.115114	0.251576
AF277315.13	0	0	0	0	0
AF277315.19	0	0	0	0	0
AF277315.19	0	0	0	0	0
AFAP1	19.3942	4.66439	9.10206	2.64601	5.38922
AFAP1L1	2.91567	0.057387	4.94966	0.155275	0.374884
AFAP1L2	0.0175167	34.9221	3.8086	0.193514	0.245088
AFF1	6.63216	2.72375	15.6968	5.09018	10.2647
AFF2	0.447072	0	0.00785582	0.0497217	0.106955
AFF2	0	0	0	0	0
AFF2-IT1	0	0	0	0	0
AFF2-IT1	0	0	0	0	0
AFF3	5.82645	0.422318	0.0677669	16.8158	0.25566
AFF4	24.078	18.8174	38.3597	22.2436	23.2653
AFG3L1P	7.93777	23.4309	12.7744	13.2602	11.3739
AFG3L2	21.3241	31.5219	25.5733	18.7398	24.679
AFG3L2P1	1.35575	1.54996	1.37483	1.2083	1.09007
AFM	0	0	0	0	0
AFMID	7.38253	17.8681	16.9627	15.8176	13.264
AFP	5.57224	0.266158	0.583809	0.112737	0.28673
AFTPH	5.40863	9.97479	8.57975	9.70545	12.351
AGA	12.9915	9.3847	17.2765	24.9901	16.9785
AGAP1	15.531	10.2495	10.2378	14.059	12.3157
AGAP10	1.88741	2.17184	3.48329	2.53398	2.03334
AGAP11	1.64385	12.6917	0.606513	41.9804	293.538
AGAP1-IT1	0.0939216	0.604322	0.326262	0	0.104443
AGAP2	0.165407	7.67649	4.92793	0.633246	14.1929
AGAP3	23.8707	89.4337	49.5893	29.3629	18.8462
AGAP4	1.00184	2.2526	3.64726	2.38518	4.07188
AGAP4	0	0	0	0	0
AGAP5	0.685331	1.80151	2.2517	1.66535	3.88423
AGAP6	2.05983	4.70696	5.43275	4.71908	5.5164
AGAP7	0.562389	2.00436	1.36655	1.09491	1.38722
AGAP7	0	0	0	0	0
AGAP8	0.88714	2.88331	2.38114	2.24918	2.54109
AGAP9	1.93385	2.30771	3.45332	2.58405	2.16469
AGAP9	0	0	0	0	0
AGBL1	0	0	0	0	0
AGBL2	0.369001	1.25092	1.88567	1.11811	0.0109946
AGBL3	0.550607	0.298376	0.916335	0.52212	0.82205
AGBL4	0.0619773	0.0714816	0.184831	0.0265736	0.157125
AGBL4-IT1	0	0	0	0	0
AGBL5	11.799	45.7385	10.4363	21.0745	20.9321
AGBL5-AS1	0	0	0	0	0.103064
AGBL5-IT1	0.500009	0.40296	0.145606	0	0.277329
AGER	1.09723	3.35151	1.2129	0.577273	0.639909
AGER	0	0	0	0	0
AGER	0	0	0	0	0
AGER	0	0	0	0	0
AGER	0	0	0	0	0
AGER	0	0	0	0	0
AGER	0	0	0	0	0
AGFG1	43.8705	27.7014	35.7054	28.2656	31.6407
AGFG2	11.2483	5.84845	13.7418	5.62737	7.05835
AGGF1	8.60391	8.31146	6.6521	14.7951	24.8698
AGGF1P1	0	0	0.0731084	0.257934	0.345299
AGGF1P1	0	0	0	0	0
AGGF1P2	0	0.0590578	0	0.363027	0.53104
AGGF1P3	0.0913708	0.036729	0	0	0.0127117
AGGF1P4	0	0	0	0	0
AGK	12.093	11.4866	12.9858	10.9559	11.3326
AGK	0	0	0	0	0
AGKP1	0	0.0350872	0	0	0.0242882
AGL	5.37087	2.5677	12.1419	5.08065	6.70794
AGMAT	1.82413	1.44121	1.95105	1.70267	4.20647
AGMO	0	0	0.169374	0.0413028	0.128305
AGPAT1	42.4005	36.7812	65.0164	42.3867	25.4163
AGPAT1	0	0	0	0	0
AGPAT1	0	0	0	0	0
AGPAT1	0	0	0	0	0
AGPAT1	0	0	0	0	0
AGPAT1	0	0	0	0	0
AGPAT1	0	0	0	0	0
AGPAT2	22.1838	39.2049	32.981	29.2681	41.5187
AGPAT3	24.7192	23.9377	22.2385	29.7845	21.6883
AGPAT4	5.65832	0.596479	7.38354	0.703231	1.18564
AGPAT5	31.3619	11.2526	16.5559	13.1809	14.82
AGPAT5P1	0	0	0	0	0
AGPAT6	108.414	38.1079	43.9545	83.0214	157.221
AGPAT9	4.29289	0.459962	15.2192	0.541928	4.56534
AGPHD1	1.29806	5.6772	1.85907	4.46903	2.14846
AGPS	15.938	0.0206031	20.4839	0.0252486	0.533854
AGR2	2.43777	2.57463	97.6657	1335.45	1406.89
AGR3	0	0.162425	0.135082	102.249	10.6932
AGRN	27.5486	84.6899	63.8592	93.7422	45.5077
AGRP	0	0	0.0911626	0.0519326	0
AGT	3.00169	0	0.0788149	0.325692	0.0506534
AGTPBP1	11.1297	2.92798	12.0601	2.08176	6.83772
AGTR1	3.80313	0	0	0	0
AGTR2	0	0	0	0.011719	0
AGTR2	0	0	0	0	0
AGTRAP	25.4264	27.5693	25.2397	50.8984	57.09
AGXT	0	0	0	0	0
AGXT2	0	0	0	0.0578274	0
AGXT2L1	0	0	0	0.316661	3.25747
